종목_list,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산
덴티움,"1,699","2,258","1,953","2,403"
도레이케미칼,"3,063","2,580","2,949","3,130"
도화엔지니어링,"1,561","1,755","2,041","2,286"
케이비아이동국실업,"2,034","2,111","2,236","2,140"
동국제강,"21,739","19,408","18,462","26,828"
동남합성,261,323,288,405
동방,"1,318","1,829","1,284","1,425"
동방아그로,"1,262","1,340","1,390","1,543"
동부건설,"4,421","5,733","5,412","7,816"
KG스틸,"8,859","7,608","6,492","11,232"
동북아12호,2,2,81,81
동북아13호,1,1,1,81
동서,"7,127","7,298","7,555","7,804"
동성제약,878,794,715,500
동성케미컬,"3,337","3,899","3,498","3,944"
동성화학,"1,112","1,109","1,166","1,221"
동아쏘시오홀딩스,"2,917","3,153","3,294","3,586"
다스코,"1,277","1,205","1,174","1,588"
동아에스티,"4,265","4,533","4,622","5,310"
동아지질,"2,104","2,178","2,433","2,396"
동아타이어,753,876,921,"1,172"
동양,"4,122","3,882","3,523","4,137"
동양고속,356,283,93,177
비케이탑스,"1,001",180,127,432
TYM,"3,616","3,943","4,067","4,101"
동양생명,"14,596","12,086","4,187","9,426"
동양철관,808,794,695,"1,017"
동양피스톤,"1,373","1,599","1,548","1,698"
넥스트사이언스,879,580,411,603
동원F&B,"6,314","6,790","7,018","9,207"
동원금속,"1,293","1,708","1,592","1,383"
동원산업,"10,090","12,018","11,833","12,891"
동원수산,583,662,676,668
동원시스템즈,"4,649","4,218","4,538","6,385"
동일고무벨트,"1,549","1,535","1,504","1,694"
DI동일,"3,189","2,565","2,635","3,495"
동일산업,"2,993","2,741","2,810","3,142"
동일제강,748,773,805,"1,052"
동화약품,"2,279","2,355","2,227","2,202"
두산,"115,859","110,480","125,983","98,953"
두산건설,"12,403","10,042","9,018","8,779"
두산밥캣,"16,837","15,196","18,620","26,459"
HSD엔진,"2,818","3,802","2,766","3,449"
현대두산인프라코어,"44,268","43,049","50,496","32,398"
두산중공업,"97,822","93,516","99,468","84,176"
두올,"1,820","1,980","2,433","2,580"
디씨엠,961,"1,039","1,176","1,681"
디아이,887,"1,010","1,031","1,211"
디아이씨,"3,287","3,090","2,100","2,171"
디와이,"4,129","4,038","4,629","5,340"
디와이파워,"1,458","1,480","1,776","2,252"
디티알오토모티브,"4,547","4,319","4,761","10,771"
스틱인베스트먼트,"1,203","1,251","1,441","1,964"
락앤락,"3,777","4,095","4,140","5,420"
롯데관광개발,"2,201",531,"1,248",915
롯데손해보험,"4,542","4,443","2,594","2,553"
롯데쇼핑,"57,084","61,073","62,907","70,002"
롯데정밀화학,"7,164","8,605","5,168","8,669"
롯데제과,"7,042","7,711","8,301","8,279"
롯데지주,"154,769","31,266","49,026","47,725"
롯데칠성,"6,887","7,884","8,933","9,945"
롯데케미칼,"81,439","72,209","68,765","94,307"
롯데푸드,"4,502","6,245","5,520","4,824"
롯데하이마트,"9,154","7,157","9,888","6,829"
마니커,370,301,462,698
만도,"19,727","21,098","24,070","29,443"
만호제강,"1,586","1,473","1,491","1,558"
맥쿼리인프라, , , , 
쎌마테라퓨틱스,108,108,278,258
메리츠금융지주,"28,459","31,154","35,746","57,581"
메리츠증권,"24,060","26,243","32,166","50,258"
메리츠화재,"3,903","4,019","2,417","5,928"
명문제약,"1,070","1,007",806,669
모나리자,405,371,381,308
모나미,777,813,743,"1,123"
모두투어리츠,58,41,44,306
모토닉,"3,389","3,416","3,605","3,766"
무림P&P,"4,149","3,190","3,617","3,432"
무림페이퍼,"6,705","5,957","6,423","6,754"
무학,761,"1,150","1,024",560
문배철강,502,768,583,844
미래산업,474,517,397,701
미래아이앤지,226,216,598,365
미래에셋증권,"117,509","119,063","178,111","209,556"
미래에셋생명,"2,465","3,838","3,150","2,542"
미원상사,"1,117","1,202","1,377","1,716"
미원에스씨,"1,733","2,043","2,174","2,925"
미원홀딩스,684,929,962,"1,351"
미원화학,358,388,400,541
미창석유,"2,127","2,095","2,191","2,604"
바다로19호,33,28,43,95
방림,"1,484","1,526","1,751","1,628"
백광산업,405,664,483,547
태경비케이,784,"1,031","1,026","1,238"
백산,"1,774","1,967","1,766","2,098"
범양건영,650,708,798,"1,224"
베트남개발1, , , , 
벽산,"2,275","2,014","2,060","2,076"
보락,177,188,175,207
보령제약,"2,245","2,319","3,157","4,373"
보해양조,753,581,500,597
부광약품,"2,216","1,864","2,482","2,201"
부국증권,"2,327","1,648","3,491","3,017"
부국철강,922,909,946,"1,143"
부산가스,"3,366","3,632","3,483","2,707"
부산산업,651,677,604,623
부산주공,799,727,667,774
