종목_list,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
SUN&L,"1,329",963,859,515
성문전자,123,102,93,123
성보화학,978,907,821,808
성신양회,"2,300","2,238","2,303","2,357"
성안,137,130,-509,-259
성창기업지주,"2,008","1,903","1,957","2,021"
세방,"6,237","6,285","6,573","7,132"
세방전지,"9,259","9,994","10,625","11,409"
세아베스틸,"12,452","12,319","9,748","11,624"
세아제강지주,"14,700","8,316","8,457","10,227"
세아특수강,"2,365","2,389","2,272","2,485"
세아홀딩스,"15,868","16,044","14,398","15,105"
세우글로벌,86,86,118,139
세원이앤씨,-315,-378,-643,-675
세원정공,"3,982","4,055","4,302","4,308"
세종공업,"3,626","3,667","3,494","3,447"
세진중공업,"1,256","1,263","1,270","1,359"
다이나믹디자인,-533,-591,-979,"-1,232"
송원산업,"3,805","3,998","4,334","5,124"
수산중공업,719,729,763,870
한국수출포장,"1,938","2,097","2,155","2,292"
스카이라이프,"3,851","4,230","4,647","5,118"
신대양제지,"3,254","3,774","4,177","4,687"
신도리코,"7,197","7,184","6,952","7,906"
신라교역,"5,006","5,042","5,045","5,400"
신성이엔지,-655,-634,-771,-930
신성통상,861,856,"1,144","1,726"
신세계,"24,392","29,209","27,882","30,845"
신세계인터내셔날,"3,889","4,434","4,848","5,611"
신세계푸드,"2,293","2,278","1,974","1,971"
신송홀딩스,400,56,74,136
신영와코루,"2,533","2,535","2,566","2,606"
신영증권,185,298,654,615
신원,"1,182","1,199","1,125","1,237"
신풍제약,"1,437","1,465","1,566","1,392"
신풍제지,435,603,918,804
신한,-108,-182,-311,-322
신흥,738,666,783,888
쌍방울,335,-35,-220,-408
쌍용C&E,"6,766","5,893","12,216","16,489"
쌍용차,-856,"-4,253","-9,163","-11,312"
써니전자,-38,-32,25,69
씨아이테크,-241,-154,-200,-269
씨에스윈드,"1,706","1,958","2,186","2,679"
아남전자,186,160,200,357
아모레G,"25,458","26,483","26,319","27,619"
아모레퍼시픽,"37,260","38,738","38,477","39,378"
메타랩스,"-1,074",-262,-190,-178
아세아,"9,115","9,512","9,893","10,897"
아세아시멘트,"1,910","2,069","2,242","3,155"
아세아제지,"2,531","3,046","3,530","4,346"
아시아나항공,-662,"-8,806","-13,054","-9,817"
아이마켓코리아,"2,571","2,580","2,569","2,329"
아이에스동서,"6,491","6,757","7,793","8,327"
HDC랩스,"1,264","1,149",855,877
우리금융캐피탈,"4,512","5,253","5,477","5,785"
알루코,978,900,755,804
폴루스바이오팜,-471,-534,-557,-563
애경케미칼,"2,207","2,377","2,700","3,328"
에넥스,114,66,-22,79
에스엘,"8,675","9,120","9,722","10,364"
에스원,"12,030","12,676","13,240","13,786"
에쓰씨엔지니어링,-421,-418,-279,-351
에이블씨엔씨,"1,363","1,259",369,15
에이프로젠제약,-333,-418,-301,-211
엔씨소프트,"21,638","23,821","28,568","30,715"
엔에스쇼핑,"4,384","4,256","4,259","3,864"
엔케이,-249,-487,-483,-371
플레이그램,-364,-397,-361,-179
영보화학,"1,284","1,312","1,326","1,354"
영원무역,"9,799","11,303","13,569","16,330"
영원무역홀딩스,"8,274","9,388","11,220","13,289"
영풍,"30,158","32,300","33,431","34,600"
영풍제지,843,926,"1,007","1,062"
영흥,"1,122","1,123",901,964
예스코홀딩스,"5,158","5,270","4,520","4,638"
오뚜기,"12,602","13,312","14,119","15,164"
오리엔트바이오,-613,-75,-197,-162
