,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
SK이노베이션,"['542,165', '493,069', '345,499', '468,429', '345,499', '35.6']","['166,347', '173,536', '132,951', '214,817']","['88,666', '104,572', '110,148', '145,124']","['358,534', '395,345', '384,981', '495,574']","['166,791', '213,213', '230,397', '299,242']"
SK증권,"['459', '368', '428', '626', '428', '46.3']","['6,364', '6,554', '9,869', '11,257']","['\xa0', '\xa0', '\xa0', '\xa0']","['37,588', '41,395', '53,594', '63,714']","['\xa0', '\xa0', '\xa0', '\xa0']"
SK디스커버리,"['69,392', '50,211', '45,195', '66,143', '45,195', '46.4']","['17,724', '20,149', '24,566', '28,016']","['16,972', '16,847', '14,545', '19,775']","['48,056', '50,001', '56,216', '68,819']","['24,870', '26,769', '30,053', '38,126']"
SK텔레콤,"['168,740', '177,407', '160,877', '167,486', '160,877', '4.1']","['79,588', '80,885', '87,751', '63,527']","['68,476', '78,517', '81,780', '69,604']","['423,691', '452,024', '479,070', '309,113']","['200,199', '223,854', '235,107', '185,761']"
SK하이닉스,"['404,451', '269,907', '319,004', '429,978', '319,004', '34.8']","['198,941', '144,576', '165,710', '268,705']","['130,319', '79,620', '90,724', '147,694']","['636,583', '652,484', '711,739', '963,865']","['168,060', '173,125', '192,648', '341,954']"
SPC삼립,"['22,202', '24,992', '25,427', '29,467', '25,427', '15.9']","['3,402', '3,701', '3,643', '4,451']","['4,077', '4,539', '5,678', '5,772']","['7,523', '11,963', '11,819', '12,230']","['4,383', '8,736', '8,789', '8,880']"
STX,"['15,030', '14,637', '9,756', '9,255', '9,756', '-5.1']","['4,229', '3,864', '3,199', '3,662']","['4,636', '4,398', '4,583', '4,484']","['5,541', '5,601', '6,508', '6,761']","['4,900', '5,038', '5,432', '5,536']"
STX엔진,"['5,773', '6,106', '5,867', '4,935', '5,867', '-15.9']","['4,938', '4,390', '4,387', '4,271']","['3,499', '3,553', '4,806', '4,908']","['8,641', '8,284', '8,093', '8,375']","['6,429', '5,909', '5,428', '5,535']"
STX중공업,"['2,148', '2,540', '2,480', '1,639', '2,480', '-33.9']","['3,211', '2,213', '1,525', '1,824']","['2,822', '1,985', '2,585', '2,449']","['5,672', '4,475', '4,674', '4,304']","['4,008', '3,175', '2,934', '2,764']"
TBH글로벌,"['2,088', '2,108', '1,731', '1,881', '1,731', '8.6']","['887', '872', '697', '714']","['611', '501', '446', '497']","['2,662', '1,755', '1,394', '1,170']","['828', '679', '613', '623']"
TCC스틸,"['4,132', '4,372', '4,318', '5,367', '4,318', '24.3']","['1,522', '1,490', '1,369', '2,020']","['932', '1,660', '1,338', '1,387']","['3,048', '3,142', '3,068', '3,670']","['1,925', '1,974', '1,856', '2,118']"
WISCOM,"['1,119', '1,155', '1,025', '1,176', '1,025', '14.8']","['759', '771', '699', '674']","['82', '136', '115', '136']","['1,278', '1,351', '1,307', '1,353']","['106', '166', '139', '151']"
YG PLUS,"['936', '1,136', '1,071', '1,543', '1,071', '44.0']","['602', '690', '699', '1,109']","['228', '338', '424', '580']","['1,468', '1,567', '1,510', '2,231']","['313', '449', '468', '774']"
가온전선,"['8,407', '8,303', '8,574', '10,704', '8,574', '24.8']","['2,778', '2,648', '2,858', '4,019']","['1,475', '1,681', '1,923', '2,465']","['5,265', '5,126', '5,425', '6,590']","['2,661', '2,558', '2,789', '3,909']"
강남제비스코,"['3,070', '3,325', '3,408', '5,910', '3,408', '73.4']","['1,879', '1,788', '2,011', '2,969']","['604', '599', '686', '1,344']","['6,579', '6,723', '7,122', '9,040']","['1,083', '1,111', '1,297', '2,421']"
강원랜드,"['14,381', '15,201', '4,786', '7,884', '4,786', '64.7']","['17,590', '18,782', '14,982', '16,570']","['6,360', '6,513', '3,300', '5,068']","['42,312', '44,381', '36,416', '38,273']","['6,445', '7,204', '3,946', '5,745']"
갤럭시아에스엠,"['220', '287', '195', '289', '195', '47.9']","['143', '136', '143', '163']","['64', '63', '64', '73']","['333', '282', '286', '409']","['65', '64', '78', '79']"
경농,"['2,127', '2,275', '2,483', '2,703', '2,483', '8.8']","['1,700', '1,850', '1,925', '2,065']","['1,283', '1,226', '1,340', '1,231']","['3,573', '3,709', '3,715', '3,888']","['1,558', '1,690', '1,602', '1,520']"
경동나비엔,"['7,267', '7,743', '8,734', '11,029', '8,734', '26.3']","['2,870', '2,743', '3,604', '4,756']","['2,751', '2,703', '3,380', '4,347']","['5,836', '6,098', '7,347', '9,339']","['3,035', '3,088', '3,865', '4,835']"
경동도시가스,"['16,065', '14,227', '10,868', '14,572', '10,868', '34.1']","['4,442', '3,952', '3,285', '5,304']","['3,759', '3,212', '2,606', '4,517']","['7,783', '7,500', '6,997', '9,045']","['4,578', '4,104', '3,430', '5,291']"
경동인베스트,"['2,286', '2,717', '3,105', '2,985', '3,105', '-3.9']","['1,885', '2,365', '2,371', '2,323']","['784', '847', '745', '611']","['6,001', '6,055', '5,893', '5,777']","['1,922', '1,909', '1,585', '1,379']"
경방,"['3,514', '3,439', '3,292', '3,834', '3,292', '16.4']","['1,207', '2,649', '1,173', '1,255']","['1,632', '1,924', '2,856', '2,307']","['13,018', '13,707', '12,649', '12,708']","['5,930', '6,292', '5,230', '5,187']"
경보제약,"['2,013', '1,917', '2,153', '1,707', '2,153', '-20.7']","['1,289', '1,242', '1,382', '1,112']","['693', '838', '938', '888']","['2,216', '2,378', '2,532', '2,370']","['726', '887', '972', '913']"
경인양행,"['3,311', '3,588', '3,293', '4,033', '3,293', '22.5']","['2,348', '2,519', '2,632', '3,256']","['1,569', '1,926', '2,163', '2,692']","['4,130', '4,721', '5,051', '5,795']","['1,892', '2,346', '2,767', '3,276']"
경인전자,"['185', '133', '208', '274', '208', '31.7']","['438', '449', '455', '496']","['22', '19', '25', '50']","['574', '569', '578', '659']","['28', '24', '38', '63']"
계룡건설,"['22,927', '22,757', '22,000', '25,618', '22,000', '16.4']","['10,784', '12,772', '13,519', '15,981']","['10,054', '11,532', '10,261', '10,922']","['17,262', '20,046', '20,703', '23,271']","['12,864', '15,019', '14,643', '15,727']"
계양전기,"['3,651', '3,750', '3,797', '3,923', '3,797', '3.3']","['1,351', '1,444', '1,632', '1,518']","['544', '659', '982', '919']","['2,726', '2,799', '2,942', '2,851']","['852', '954', '1,085', '1,018']"
고려개발,"['6,631', '5,541', '6,849', '1,376', '1,307', '5.3']","['3,982', '3,565', '4,111', '3,816']","['2,438', '4,194', '2,671', '2,336']","['6,627', '5,930', '6,134', '5,864']","['5,845', '4,568', '4,444', '4,092']"
고려산업,"['1,584', '1,925', '1,905', '2,135', '1,905', '12.1']","['1,161', '1,094', '963', '990']","['1,035', '952', '1,005', '1,179']","['2,136', '2,065', '2,166', '2,386']","['1,212', '1,107', '1,139', '1,318']"
고려아연,"['68,833', '66,948', '75,819', '99,768', '75,819', '31.6']","['39,659', '45,979', '49,129', '56,890']","['5,384', '7,043', '11,184', '17,705']","['72,259', '78,406', '84,996', '99,640']","['8,514', '10,022', '14,126', '22,298']"
