,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
무학,"['1,937', '1,558', '1,394', '1,269', '1,394', '-8.9']","['761', '1,150', '1,024', '560']","['1,005', '937', '683', '1,436']","['6,190', '6,246', '5,988', '6,466']","['1,125', '1,097', '740', '1,481']"
문배철강,"['1,594', '1,626', '1,527', '2,049', '1,527', '34.2']","['502', '768', '583', '844']","['164', '567', '403', '585']","['1,517', '1,953', '1,877', '2,098']","['417', '839', '686', '668']"
미래산업,"['345', '277', '416', '483', '416', '16.3']","['474', '517', '397', '701']","['161', '47', '193', '291']","['687', '748', '958', '1,177']","['211', '85', '317', '331']"
미래아이앤지,"['65', '75', '58', '78', '58', '35.3']","['226', '216', '598', '365']","['14', '16', '17', '33']","['576', '723', '923', '997']","['24', '27', '29', '286']"
미래에셋증권,"['6,542', '5,571', '6,016', '7,676', '6,016', '27.6']","['117,509', '119,063', '178,111', '209,556']","['\xa0', '\xa0', '\xa0', '\xa0']","['1,180,855', '1,331,498', '1,309,469', '1,086,418']","['\xa0', '\xa0', '\xa0', '\xa0']"
미래에셋생명,"['37,926', '34,858', '36,283', '35,329', '36,283', '-2.6']","['2,465', '3,838', '3,150', '2,542']","['\xa0', '\xa0', '\xa0', '\xa0']","['346,405', '380,155', '406,290', '419,973']","['325,755', '356,790', '383,439', '400,951']"
미원상사,"['3,286', '2,500', '2,950', '3,598', '2,950', '22.0']","['1,117', '1,202', '1,377', '1,716']","['342', '355', '356', '466']","['2,455', '2,807', '3,290', '3,724']","['479', '561', '614', '764']"
미원에스씨,"['3,604', '3,779', '3,720', '5,313', '3,720', '42.8']","['1,733', '2,043', '2,174', '2,925']","['351', '404', '440', '970']","['2,767', '3,119', '3,271', '4,381']","['563', '625', '660', '1,116']"
미원홀딩스,"['1,420', '1,884', '2,890', '4,214', '2,890', '45.8']","['684', '929', '962', '1,351']","['489', '500', '664', '1,097']","['2,220', '3,152', '3,313', '4,268']","['899', '1,176', '1,330', '1,911']"
미원화학,"['1,465', '1,547', '1,602', '1,975', '1,602', '23.2']","['358', '388', '400', '541']","['20', '103', '54', '54']","['978', '1,191', '1,253', '1,338']","['80', '169', '124', '139']"
미창석유,"['3,163', '3,237', '2,776', '4,063', '2,776', '46.4']","['2,127', '2,095', '2,191', '2,604']","['317', '318', '275', '392']","['2,832', '2,954', '3,118', '3,476']","['331', '374', '347', '456']"
바다로19호,"['60', '64', '77', '114', '77', '48.1']","['33', '28', '43', '95']","['18', '13', '10', '9']","['478', '461', '400', '474']","['20', '15', '15', '28']"
방림,"['1,319', '1,165', '1,310', '423', '334', '26.5']","['1,484', '1,526', '1,751', '1,628']","['417', '371', '485', '468']","['2,369', '2,369', '2,571', '2,474']","['470', '449', '573', '562']"
백광산업,"['1,755', '1,684', '1,713', '1,911', '1,713', '11.6']","['405', '664', '483', '547']","['1,052', '940', '841', '1,255']","['2,977', '3,288', '3,227', '3,592']","['1,438', '1,615', '1,455', '1,697']"
태경비케이,"['2,126', '1,864', '1,653', '1,952', '1,653', '18.0']","['784', '1,031', '1,026', '1,238']","['726', '699', '532', '660']","['2,938', '3,014', '2,959', '3,324']","['1,009', '985', '871', '975']"
백산,"['3,231', '4,689', '3,831', '3,711', '3,831', '-3.1']","['1,774', '1,967', '1,766', '2,098']","['1,315', '1,559', '1,352', '1,482']","['2,947', '3,306', '2,911', '3,302']","['1,566', '1,884', '1,687', '1,831']"
범양건영,"['1,556', '2,761', '1,444', '1,119', '1,444', '-22.5']","['650', '708', '798', '1,224']","['591', '400', '553', '731']","['1,184', '1,385', '1,581', '1,985']","['682', '685', '765', '1,123']"
베트남개발1,"['\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']"
벽산,"['4,324', '4,335', '4,395', '4,714', '4,395', '7.3']","['2,275', '2,014', '2,060', '2,076']","['1,218', '1,340', '1,468', '1,578']","['4,746', '4,627', '4,644', '5,054']","['1,789', '1,712', '1,727', '2,151']"
보락,"['338', '361', '383', '398', '383', '3.8']","['177', '188', '175', '207']","['42', '54', '42', '48']","['533', '556', '541', '563']","['96', '117', '101', '108']"
보령제약,"['4,604', '5,243', '5,619', '6,273', '5,619', '11.6']","['2,245', '2,319', '3,157', '4,373']","['1,297', '1,392', '1,229', '1,560']","['4,500', '5,076', '6,480', '8,286']","['1,939', '2,247', '3,077', '3,543']"
보해양조,"['820', '760', '786', '837', '786', '6.6']","['753', '581', '500', '597']","['750', '554', '534', '443']","['2,005', '1,631', '1,491', '1,531']","['1,311', '867', '705', '689']"
부광약품,"['1,942', '1,682', '1,697', '1,825', '1,697', '7.6']","['2,216', '1,864', '2,482', '2,201']","['382', '359', '612', '370']","['4,936', '3,885', '4,010', '3,974']","['802', '620', '1,298', '1,174']"
부국증권,"['420', '263', '346', '431', '346', '24.5']","['2,327', '1,648', '3,491', '3,017']","['\xa0', '\xa0', '\xa0', '\xa0']","['14,351', '14,813', '16,089', '16,474']","['\xa0', '\xa0', '\xa0', '\xa0']"
부국철강,"['1,424', '1,323', '1,389', '1,957', '1,389', '40.9']","['922', '909', '946', '1,143']","['113', '91', '185', '302']","['1,238', '1,223', '1,322', '1,507']","['115', '97', '189', '303']"
부산가스,"['9,518', '9,728', '9,221', '6,475', '6,767', '-4.3']","['3,366', '3,632', '3,483', '2,707']","['2,370', '2,472', '2,245', '1,156']","['9,783', '10,367', '12,675', '11,260']","['3,548', '3,670', '4,009', '2,816']"
부산산업,"['1,194', '1,410', '1,156', '1,280', '1,156', '10.7']","['651', '677', '604', '623']","['480', '484', '404', '431']","['1,336', '1,360', '1,290', '1,338']","['622', '583', '476', '563']"
부산주공,"['2,038', '2,046', '1,527', '1,868', '1,527', '22.3']","['799', '727', '667', '774']","['1,666', '1,654', '1,476', '1,762']","['3,015', '2,821', '2,498', '2,397']","['2,492', '2,520', '2,231', '2,165']"
비상교육,"['1,619', '1,994', '1,723', '2,156', '1,723', '25.1']","['1,174', '1,493', '1,157', '1,196']","['438', '646', '553', '675']","['2,543', '2,862', '2,632', '2,715']","['474', '718', '673', '716']"
빙그레,"['8,552', '8,783', '9,591', '11,474', '9,591', '19.6']","['3,858', '4,051', '3,253', '3,139']","['957', '943', '1,263', '1,600']","['6,539', '6,849', '7,641', '7,602']","['1,089', '1,138', '1,746', '2,024']"
사조대림,"['9,371', '13,297', '17,181', '18,137', '17,181', '5.6']","['2,692', '4,331', '4,848', '5,251']","['3,202', '4,709', '4,966', '5,233']","['7,209', '10,709', '11,241', '11,398']","['4,046', '6,470', '6,725', '6,208']"
사조동아원,"['4,130', '4,122', '3,876', '4,121', '3,876', '6.3']","['1,815', '1,856', '1,768', '1,946']","['2,788', '2,332', '2,143', '2,304']","['4,682', '4,669', '4,464', '4,488']","['2,910', '2,699', '2,387', '2,370']"
사조산업,"['7,821', '7,354', '6,219', '5,904', '6,219', '-5.1']","['3,554', '3,257', '3,069', '3,207']","['4,239', '3,696', '3,505', '3,842']","['11,760', '11,374', '10,874', '11,139']","['6,662', '6,524', '5,842', '5,481']"
사조씨푸드,"['3,971', '3,489', '2,145', '1,746', '2,145', '-18.6']","['1,378', '1,140', '798', '875']","['1,375', '886', '528', '900']","['3,803', '3,481', '3,116', '3,369']","['1,606', '1,438', '1,008', '1,069']"
사조오양,"['2,961', '3,136', '3,276', '3,289', '3,276', '0.4']","['911', '1,041', '1,307', '1,267']","['1,243', '1,199', '1,133', '1,057']","['3,083', '3,112', '3,187', '3,159']","['1,526', '1,436', '1,340', '1,192']"
사조해표,"['6,739', '6,534', '6,283', '1,662', '1,618', '2.7']","['1,620', '1,540', '1,765', '1,861']","['2,177', '2,084', '2,152', '2,197']","['3,695', '3,803', '4,001', '4,080']","['2,356', '2,315', '2,447', '2,528']"
SGC에너지,"['2,653', '2,842', '1,065', '18,984', '1,065', '1681.7']","['1,974', '1,780', '9,795', '8,298']","['4,170', '3,495', '13,856', '11,158']","['7,591', '6,959', '26,754', '25,916']","['4,417', '3,833', '19,976', '18,521']"
삼부토건,"['1,774', '2,263', '3,794', '3,570', '3,794', '-5.9']","['2,761', '2,592', '3,888', '4,464']","['1,461', '1,333', '2,304', '2,538']","['4,131', '4,207', '4,888', '5,514']","['2,228', '2,201', '3,077', '3,129']"
삼성SDI,"['91,583', '100,974', '112,948', '135,532', '112,948', '20.0']","['55,193', '51,814', '56,574', '74,449']","['40,128', '37,415', '49,836', '64,613']","['193,497', '198,521', '215,342', '258,332']","['71,245', '71,918', '81,753', '106,365']"
삼성공조,"['809', '752', '638', '796', '638', '24.8']","['1,455', '1,267', '1,540', '1,589']","['411', '350', '320', '349']","['2,602', '2,584', '2,582', '2,575']","['463', '397', '356', '378']"
삼성물산,"['311,556', '307,615', '302,161', '344,552', '302,161', '14.0']","['136,713', '117,537', '129,236', '151,440']","['130,168', '109,294', '108,896', '116,753']","['424,067', '459,055', '543,317', '552,454']","['198,577', '192,134', '213,863', '218,930']"
삼성바이오로직스,"['5,358', '7,016', '11,648', '15,680', '11,648', '34.6']","['15,777', '13,563', '17,513', '28,232']","['7,105', '6,905', '5,893', '11,073']","['59,804', '59,116', '64,242', '79,700']","['18,249', '15,572', '18,254', '29,789']"
삼성생명,"['322,409', '318,040', '345,343', '350,791', '345,343', '1.6']","['47,453', '61,812', '49,724', '57,991']","['\xa0', '\xa0', '\xa0', '\xa0']","['2,894,277', '3,127,623', '3,365,693', '3,413,826']","['2,589,222', '2,754,459', '2,929,587', '3,017,572']"
삼성에스디에스,"['100,342', '107,196', '110,174', '136,300', '110,174', '23.7']","['58,818', '63,838', '65,812', '75,760']","['15,748', '16,982', '17,208', '23,703']","['80,138', '90,212', '91,549', '105,174']","['18,653', '22,961', '22,958', '30,737']"
삼성엔지니어링,"['54,670', '63,921', '67,492', '74,867', '67,492', '10.9']","['29,522', '29,018', '31,359', '44,425']","['33,782', '29,775', '29,611', '38,527']","['46,196', '45,657', '47,556', '60,587']","['36,218', '32,705', '31,738', '40,982']"
삼성전기,"['80,020', '77,183', '77,533', '96,750', '77,533', '24.8']","['35,253', '35,075', '41,503', '45,983']","['25,096', '18,504', '19,149', '22,347']","['86,449', '86,742', '92,255', '99,414']","['36,984', '32,442', '33,151', '30,702']"
삼성전자,"['2,437,714', '2,304,009', '2,368,070', '2,796,048', '2,368,070', '18.1']","['1,746,974', '1,813,853', '1,982,156', '2,181,632']","['690,815', '637,828', '756,044', '881,171']","['3,393,572', '3,525,645', '3,782,357', '4,266,212']","['916,041', '896,841', '1,022,877', '1,217,212']"
삼성제약,"['465', '446', '483', '549', '483', '13.7']","['797', '614', '653', '854']","['247', '223', '502', '167']","['1,606', '1,685', '1,787', '1,455']","['290', '257', '568', '182']"
삼성중공업,"['52,651', '73,497', '68,603', '66,220', '68,603', '-3.5']","['74,055', '69,295', '66,980', '55,936']","['62,671', '70,891', '75,339', '70,583']","['142,829', '136,001', '129,222', '121,386']","['75,366', '83,512', '92,039', '80,413']"
삼성증권,"['4,697', '5,087', '6,460', '7,114', '6,460', '10.1']","['52,537', '77,953', '161,718', '180,008']","['\xa0', '\xa0', '\xa0', '\xa0']","['383,306', '447,296', '638,697', '657,075']","['\xa0', '\xa0', '\xa0', '\xa0']"
삼성출판사,"['1,861', '2,020', '1,671', '1,875', '1,671', '12.2']","['846', '949', '945', '1,086']","['556', '707', '608', '625']","['1,907', '2,416', '2,924', '3,387']","['748', '1,202', '1,187', '1,153']"
삼성카드,"['87', '80', '74', '73', '74', '-1.3']","['12,805', '6,493', '14,418', '14,697']","['271', '109', '99', '50']","['230,421', '220,382', '233,989', '271,442']","['14', '5', '4', '3']"
삼성화재,"['222,090', '229,068', '240,449', '244,443', '240,449', '1.7']","['21,011', '18,750', '20,756', '17,337']","['\xa0', '\xa0', '\xa0', '\xa0']","['793,907', '851,722', '925,964', '949,340']","['670,251', '708,507', '763,138', '794,417']"
삼아알미늄,"['1,713', '1,911', '1,970', '2,530', '1,970', '28.4']","['751', '791', '764', '991']","['761', '864', '791', '926']","['1,967', '2,085', '2,075', '2,272']","['911', '996', '971', '1,052']"
삼양사,"['21,238', '20,964', '20,518', '23,845', '20,518', '16.2']","['6,521', '8,075', '9,227', '9,852']","['4,738', '4,001', '4,657', '7,492']","['21,739', '23,882', '25,765', '28,020']","['9,079', '10,937', '12,235', '13,761']"
삼양식품,"['4,694', '5,436', '6,485', '6,420', '6,485', '-1.0']","['1,297', '1,846', '2,000', '2,789']","['1,387', '1,495', '1,636', '1,824']","['4,121', '4,704', '5,562', '7,531']","['1,777', '1,827', '2,089', '3,574']"
삼양통상,"['1,832', '1,921', '1,984', '1,940', '1,984', '-2.2']","['2,329', '2,658', '3,172', '3,501']","['255', '309', '334', '408']","['3,275', '3,717', '4,221', '4,590']","['347', '429', '465', '526']"
삼양패키징,"['3,663', '3,754', '3,676', '3,919', '3,676', '6.6']","['945', '1,155', '1,438', '1,852']","['679', '783', '1,285', '1,796']","['5,460', '5,639', '5,645', '6,125']","['2,805', '2,776', '2,568', '2,912']"
삼양홀딩스,"['25,635', '24,886', '24,712', '31,073', '24,712', '25.7']","['10,572', '12,595', '14,759', '16,510']","['6,565', '5,271', '6,820', '10,028']","['33,138', '35,895', '38,936', '44,606']","['13,119', '15,600', '17,378', '20,352']"
삼영무역,"['2,693', '2,742', '3,924', '4,670', '3,924', '19.0']","['2,375', '3,090', '3,105', '3,366']","['349', '839', '825', '861']","['3,865', '5,173', '5,332', '5,788']","['520', '1,171', '1,119', '1,146']"
삼영전자,"['2,497', '2,010', '2,006', '2,389', '2,006', '19.1']","['3,260', '3,229', '3,416', '3,723']","['254', '164', '204', '293']","['5,080', '5,027', '5,139', '5,436']","['276', '183', '230', '319']"
삼영화학,"['1,029', '1,111', '1,177', '1,333', '1,177', '13.3']","['447', '454', '459', '513']","['482', '525', '506', '569']","['1,052', '1,070', '1,090', '1,177']","['589', '627', '632', '671']"
삼원강재,"['2,868', '2,693', '2,460', '3,000', '2,460', '21.9']","['1,371', '1,311', '1,335', '1,525']","['436', '345', '403', '478']","['2,538', '2,495', '2,580', '2,707']","['491', '395', '452', '520']"
삼익THK,"['2,831', '2,320', '2,639', '3,105', '2,639', '17.7']","['1,748', '1,774', '1,629', '1,541']","['1,055', '1,275', '1,182', '1,171']","['3,567', '3,926', '3,876', '3,782']","['1,687', '2,043', '1,976', '1,808']"
삼익악기,"['2,400', '2,654', '2,479', '2,954', '2,479', '19.2']","['1,625', '1,766', '2,060', '2,739']","['2,125', '1,525', '2,354', '2,076']","['5,944', '6,129', '6,224', '5,853']","['3,829', '3,887', '3,995', '3,314']"
삼일제약,"['946', '1,211', '1,230', '1,342', '1,230', '9.1']","['592', '792', '725', '767']","['853', '682', '987', '1,217']","['1,479', '1,839', '1,917', '2,264']","['919', '1,216', '1,281', '1,607']"
삼정펄프,"['1,356', '1,471', '1,463', '1,381', '1,463', '-5.6']","['1,262', '1,065', '1,346', '1,386']","['178', '196', '165', '209']","['2,018', '2,063', '2,328', '2,394']","['215', '217', '218', '233']"
삼진제약,"['2,600', '2,419', '2,352', '2,501', '2,352', '6.3']","['1,635', '1,501', '1,469', '1,399']","['384', '307', '339', '495']","['2,526', '2,442', '2,690', '3,325']","['547', '467', '556', '983']"
삼천리,"['34,562', '34,616', '32,080', '37,633', '32,080', '17.3']","['11,748', '13,157', '12,536', '15,517']","['7,585', '9,733', '7,305', '9,135']","['36,994', '39,124', '38,599', '42,453']","['23,311', '25,194', '24,691', '27,852']"
DL건설,"['9,656', '12,799', '17,346', '20,103', '17,346', '15.9']","['6,957', '7,439', '11,046', '12,410']","['3,099', '3,576', '5,450', '5,489']","['7,961', '8,517', '14,984', '16,696']","['4,285', '3,939', '6,965', '7,117']"
삼호개발,"['2,987', '3,646', '3,634', '3,173', '3,634', '-12.7']","['1,587', '1,796', '1,959', '1,724']","['862', '954', '898', '624']","['2,769', '2,988', '3,128', '2,969']","['928', '1,080', '1,014', '761']"
삼화왕관,"['1,080', '1,160', '1,403', '1,499', '1,403', '6.9']","['622', '546', '570', '508']","['174', '304', '330', '322']","['1,718', '2,387', '2,461', '2,433']","['329', '936', '1,019', '997']"
삼화전기,"['2,047', '1,951', '1,993', '2,471', '1,993', '24.0']","['706', '670', '774', '972']","['542', '473', '513', '555']","['1,282', '1,252', '1,370', '1,586']","['692', '639', '693', '718']"
삼화전자,"['421', '418', '401', '443', '401', '10.5']","['179', '170', '140', '159']","['328', '327', '288', '353']","['643', '604', '550', '669']","['450', '442', '412', '493']"
삼화콘덴서,"['2,744', '2,545', '2,425', '2,622', '2,425', '8.1']","['1,390', '1,014', '1,200', '1,479']","['853', '534', '479', '527']","['2,200', '2,148', '2,350', '2,693']","['927', '609', '601', '664']"
삼화페인트,"['5,242', '5,403', '5,517', '6,316', '5,517', '14.5']","['2,752', '2,758', '3,052', '3,032']","['1,529', '2,177', '2,079', '2,181']","['5,580', '5,606', '5,943', '6,121']","['2,762', '2,785', '3,020', '3,162']"
상신브레이크,"['3,787', '3,919', '3,490', '3,970', '3,490', '13.7']","['2,362', '2,495', '2,493', '2,969']","['1,904', '2,045', '2,106', '2,630']","['4,293', '4,523', '4,400', '4,936']","['2,558', '2,754', '2,698', '3,052']"
새론오토모티브,"['1,676', '1,527', '1,357', '1,276', '1,357', '-5.9']","['1,500', '1,407', '1,391', '1,505']","['270', '263', '232', '253']","['2,671', '2,555', '2,481', '2,684']","['447', '426', '302', '300']"
샘표,"['2,759', '2,810', '3,191', '3,490', '3,191', '9.4']","['1,226', '1,339', '1,763', '2,100']","['551', '554', '560', '846']","['3,209', '3,386', '3,812', '4,427']","['879', '822', '901', '1,293']"
샘표식품,"['2,756', '2,808', '3,189', '3,487', '3,189', '9.3']","['844', '948', '1,366', '1,696']","['525', '537', '562', '832']","['2,055', '2,258', '2,686', '3,275']","['738', '688', '765', '1,126']"
서연,"['20,784', '22,026', '22,373', '24,793', '22,373', '10.8']","['12,414', '9,193', '9,376', '9,077']","['13,935', '11,336', '10,364', '9,826']","['26,963', '22,154', '21,510', '21,379']","['17,460', '14,104', '13,244', '12,316']"
서연이화,"['18,508', '19,768', '19,624', '21,801', '19,624', '11.1']","['8,532', '7,904', '8,097', '7,718']","['8,649', '9,624', '9,120', '8,692']","['16,962', '18,205', '18,038', '17,905']","['10,296', '11,989', '11,718', '10,928']"
서울가스,"['13,890', '13,610', '12,807', '12,778', '12,807', '-0.2']","['5,994', '7,355', '8,660', '7,376']","['1,961', '3,316', '3,833', '3,623']","['13,686', '15,834', '16,897', '16,626']","['4,211', '6,156', '6,552', '6,238']"
서울식품,"['708', '621', '616', '553', '616', '-10.2']","['241', '221', '219', '207']","['397', '317', '313', '330']","['774', '760', '748', '723']","['499', '510', '464', '463']"
서원,"['2,580', '2,577', '1,947', '2,616', '1,947', '34.4']","['893', '915', '968', '1,261']","['1,040', '1,048', '898', '1,000']","['2,201', '2,220', '2,260', '2,934']","['1,148', '1,143', '1,204', '1,574']"
서흥,"['3,935', '4,607', '5,530', '5,967', '5,530', '7.9']","['2,140', '2,646', '3,141', '3,186']","['1,939', '1,963', '2,673', '2,364']","['6,391', '7,089', '7,660', '8,100']","['3,309', '3,799', '3,890', '3,801']"
선도전기,"['838', '893', '862', '833', '862', '-3.3']","['709', '715', '723', '669']","['248', '404', '372', '442']","['1,491', '1,670', '1,756', '1,679']","['653', '805', '823', '868']"
선진,"['9,124', '10,140', '13,481', '17,183', '13,481', '27.5']","['4,148', '4,403', '5,387', '6,218']","['4,678', '5,075', '6,090', '6,610']","['9,172', '9,833', '11,197', '12,096']","['5,860', '6,520', '7,357', '7,798']"
SUN&L,"['5,623', '4,559', '4,125', '4,653', '4,125', '12.8']","['2,793', '2,251', '2,255', '2,726']","['2,718', '2,293', '2,343', '3,059']","['6,253', '5,436', '5,284', '5,662']","['3,702', '3,268', '3,251', '3,979']"
성문전자,"['413', '359', '379', '493', '379', '30.3']","['256', '221', '231', '349']","['129', '124', '116', '117']","['433', '425', '404', '544']","['139', '151', '138', '236']"
성보화학,"['495', '419', '517', '577', '517', '11.5']","['1,024', '941', '828', '901']","['143', '166', '130', '270']","['1,834', '1,724', '1,592', '1,722']","['297', '258', '225', '364']"
성신양회,"['6,881', '7,074', '7,223', '8,335', '7,223', '15.4']","['2,821', '2,568', '2,828', '3,116']","['4,970', '4,387', '4,727', '4,726']","['10,614', '10,294', '10,903', '11,216']","['6,745', '6,291', '6,828', '7,076']"
성안,"['2,202', '2,169', '1,280', '789', '1,280', '-38.4']","['1,431', '1,570', '1,051', '496']","['1,551', '1,688', '1,809', '661']","['2,885', '3,114', '2,450', '1,416']","['2,108', '2,321', '2,453', '1,054']"
성지건설,"['1,360', '1,017', '1,124', '267', '533', '-50.0']","['680', '531', '566', '889']","['\xa0', '\xa0', '\xa0', '\xa0']","['979', '936', '1,095', '1,250']","['297', '359', '249', '236']"
성창기업지주,"['1,370', '1,510', '1,709', '1,979', '1,709', '15.8']","['857', '806', '787', '740']","['767', '950', '888', '897']","['6,487', '7,033', '7,074', '7,037']","['1,593', '1,779', '1,745', '1,645']"
세기상사,"['52', '51', '22', '179', '22', '700.3']","['24', '17', '13', '28']","['74', '9', '75', '128']","['427', '416', '405', '464']","['193', '191', '199', '278']"
세방,"['6,517', '7,233', '8,422', '10,577', '8,422', '25.6']","['1,852', '2,292', '2,672', '3,552']","['1,103', '1,744', '1,889', '2,295']","['9,889', '11,160', '11,646', '12,453']","['1,731', '2,897', '3,112', '3,481']"
세방전지,"['11,809', '11,390', '12,528', '13,520', '12,528', '7.9']","['7,886', '8,719', '9,739', '10,576']","['2,750', '4,282', '3,539', '4,316']","['12,679', '15,107', '15,143', '16,844']","['2,855', '4,560', '3,782', '4,724']"
세아베스틸,"['32,781', '29,365', '25,358', '36,511', '25,358', '44.0']","['13,809', '13,448', '13,404', '16,360']","['9,818', '7,358', '7,569', '9,109']","['37,189', '35,769', '32,804', '35,260']","['17,239', '15,938', '15,667', '16,196']"
세아제강지주,"['17,817', '26,439', '23,064', '28,417', '23,064', '23.2']","['12,848', '12,852', '11,716', '17,115']","['8,089', '7,698', '6,707', '9,285']","['24,454', '24,485', '23,156', '28,990']","['10,928', '10,962', '9,848', '13,123']"
세아특수강,"['7,236', '7,175', '6,550', '8,958', '6,550', '36.8']","['3,232', '3,742', '3,681', '4,694']","['1,627', '2,249', '1,882', '2,726']","['5,000', '5,732', '5,524', '6,511']","['1,749', '2,458', '2,376', '3,108']"
세아홀딩스,"['51,769', '49,307', '42,574', '60,055', '42,574', '41.1']","['22,206', '23,263', '22,719', '28,246']","['15,298', '13,629', '13,634', '17,375']","['54,539', '54,567', '50,849', '55,378']","['24,466', '24,243', '23,579', '26,750']"
세우글로벌,"['322', '275', '275', '324', '275', '18.0']","['347', '362', '395', '414']","['107', '56', '41', '43']","['434', '455', '471', '496']","['107', '57', '41', '44']"
세원이앤씨,"['1,338', '1,819', '1,099', '832', '1,099', '-24.3']","['1,116', '1,437', '1,020', '1,061']","['1,200', '1,139', '1,273', '1,032']","['3,295', '3,587', '3,247', '2,927']","['1,617', '1,821', '1,546', '1,225']"
세원정공,"['1,907', '1,569', '1,425', '563', '826', '-31.9']","['3,651', '2,492', '2,634', '2,777']","['845', '712', '437', '400']","['6,195', '6,128', '6,222', '6,343']","['1,077', '948', '708', '678']"
세이브존I&C,"['1,723', '1,592', '1,347', '1,222', '1,347', '-9.3']","['924', '955', '728', '944']","['875', '823', '599', '597']","['5,747', '5,793', '5,594', '5,643']","['1,410', '1,313', '1,073', '1,063']"
세종공업,"['10,995', '12,217', '11,828', '15,881', '11,828', '34.3']","['4,758', '5,591', '6,993', '7,214']","['4,676', '5,313', '6,719', '6,879']","['8,710', '9,960', '11,588', '11,801']","['5,096', '6,148', '7,706', '7,772']"
세진중공업,"['2,182', '2,959', '2,856', '2,504', '2,856', '-12.3']","['864', '1,379', '1,102', '1,995']","['1,939', '2,022', '1,651', '2,414']","['3,683', '4,086', '4,481', '5,704']","['2,099', '2,463', '2,870', '3,672']"
세하,"['1,772', '1,777', '1,895', '2,044', '1,895', '7.9']","['557', '576', '563', '610']","['1,220', '1,166', '729', '703']","['1,788', '1,878', '1,895', '1,953']","['1,519', '1,499', '1,018', '974']"
다이나믹디자인,"['1,208', '994', '768', '530', '768', '-31.0']","['700', '522', '736', '749']","['1,298', '1,126', '377', '565']","['1,721', '1,610', '1,503', '1,160']","['1,440', '1,395', '868', '742']"
송원산업,"['7,887', '8,143', '8,078', '9,982', '8,078', '23.6']","['3,916', '3,988', '4,122', '6,284']","['3,767', '2,934', '2,931', '4,440']","['8,725', '8,943', '8,911', '11,156']","['4,613', '4,597', '4,276', '5,724']"
수산중공업,"['846', '1,578', '1,378', '2,530', '1,378', '83.6']","['1,006', '859', '1,387', '1,383']","['491', '542', '1,175', '1,065']","['2,049', '1,832', '2,364', '2,361']","['1,060', '828', '1,328', '1,140']"
한국수출포장,"['2,802', '2,716', '2,648', '3,192', '2,648', '20.5']","['861', '966', '997', '1,253']","['427', '387', '386', '507']","['2,988', '3,081', '3,091', '3,318']","['669', '603', '565', '685']"
스카이라이프,"['6,908', '6,946', '6,987', '7,632', '6,987', '9.2']","['3,017', '4,591', '4,804', '4,085']","['1,124', '1,235', '1,532', '2,497']","['8,160', '8,483', '9,195', '12,756']","['1,498', '1,428', '1,750', '4,697']"
신대양제지,"['7,094', '6,468', '6,092', '6,816', '6,092', '11.9']","['2,070', '2,443', '2,810', '3,182']","['1,478', '1,037', '1,196', '1,125']","['7,468', '7,686', '8,091', '8,460']","['2,403', '1,948', '2,096', '2,192']"
신도리코,"['5,579', '4,271', '3,358', '3,219', '3,358', '-4.2']","['7,668', '7,747', '7,469', '8,750']","['633', '625', '573', '649']","['9,502', '9,475', '9,162', '10,226']","['787', '769', '677', '739']"
신라교역,"['3,553', '3,696', '3,723', '3,465', '3,723', '-6.9']","['2,851', '2,659', '2,437', '2,983']","['587', '811', '898', '1,081']","['5,810', '6,199', '6,291', '6,805']","['712', '1,018', '1,111', '1,279']"
신성이엔지,"['4,247', '4,028', '4,824', '4,545', '4,824', '-5.8']","['1,598', '1,769', '1,852', '2,512']","['2,720', '2,775', '2,046', '2,250']","['4,131', '4,166', '4,234', '4,767']","['2,991', '2,944', '2,320', '2,686']"
신성통상,"['9,549', '10,272', '11,999', '7,432', '6,359', '16.9']","['4,389', '4,756', '5,103', '6,302']","['3,557', '4,528', '4,197', '4,846']","['6,919', '8,583', '8,985', '10,256']","['4,631', '6,276', '6,335', '7,115']"
신세계,"['51,857', '63,942', '47,693', '63,164', '47,693', '32.4']","['18,369', '18,312', '16,637', '19,104']","['32,448', '31,730', '36,090', '35,705']","['111,013', '130,185', '127,691', '136,445']","['60,991', '75,034', '77,119', '78,821']"
신세계 I&C,"['3,735', '4,560', '4,803', '5,261', '4,803', '9.5']","['2,282', '1,826', '1,467', '1,787']","['1,117', '891', '649', '698']","['3,058', '2,898', '2,837', '3,541']","['1,135', '905', '723', '778']"
신세계건설,"['10,843', '10,162', '9,568', '12,568', '9,568', '31.4']","['3,868', '3,792', '3,438', '3,845']","['4,820', '5,338', '5,000', '5,430']","['7,571', '7,777', '7,656', '8,290']","['5,614', '5,802', '5,632', '6,029']"
신세계인터내셔날,"['12,627', '14,250', '13,255', '14,508', '13,255', '9.5']","['4,037', '4,363', '4,268', '4,598']","['2,462', '2,923', '3,002', '2,038']","['9,825', '11,289', '11,475', '11,591']","['4,376', '5,296', '5,062', '4,395']"
