,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
52,LF,"17,067","18,517","16,105","17,931","9,701","9,620","10,829","11,644","2,986","7,100","7,208","6,132","16,518","24,171","24,794","25,411","4,684","10,256","10,650","10,428",4.4,5.0,3.4,1.2,5.4,"8,362","8,861","8,893","9,948"
53,LG,"77,434","65,345","51,991","68,590","46,131","39,391","58,959","55,479","30,395","22,448","21,333","28,193","228,359","224,346","242,823","256,698","46,714","34,136","34,210","37,296",11.8,8.5,4.9,6.6,10.8,"150,486","156,993","167,824","188,914"
54,LG디스플레이,"243,366","234,756","242,616","298,780","88,001","102,483","110,995","131,871","99,545","109,850","110,069","139,948","331,757","355,746","350,660","381,545","182,895","230,863","223,346","233,920",7.2,-0.6,-8.4,-0.2,3.6,"102,400","75,033","75,188","85,415"
55,LX인터내셔널,"99,882","105,309","112,826","166,865","25,584","24,840","31,628","43,765","21,674","21,263","25,183","34,309","50,381","48,760","53,959","67,469","34,885","33,274","36,376","43,626",1.7,-0.7,-0.3,7.0,8.9,"8,801","8,972","11,870","15,222"
56,LG생활건강,"67,475","76,854","78,445","80,915","16,912","21,631","19,828","24,729","13,589","17,712","14,797","15,258","52,759","64,937","68,014","75,552","16,819","22,566","19,522","20,574",13.3,13.8,13.4,12.2,12.0,"35,634","41,749","48,054","54,840"
57,LG유플러스,"117,257","123,820","134,176","138,511","42,472","48,055","49,509","51,644","38,330","46,489","43,283","50,737","139,399","179,411","183,502","193,705","70,866","105,914","106,990","114,120",4.6,3.7,2.8,2.6,3.8,"34,472","36,736","39,686","43,641"
58,LG이노텍,"79,821","79,754","95,418","149,456","22,333","25,309","31,618","41,134","15,844","20,462","22,842","33,103","57,561","57,708","60,386","77,414","36,378","35,662","36,109","44,271",3.4,2.8,1.8,4.0,12.9,"9,067","9,893","12,215","20,481"
59,LG전자,"613,417","623,062","580,579","747,216","193,629","197,535","232,394","274,878","171,350","176,579","202,075","236,199","443,284","448,599","482,042","534,815","280,215","284,347","306,621","333,834",4.7,3.4,0.4,4.4,2.8,"120,754","118,573","136,528","144,336"
60,LX하우시스,"32,665","31,868","30,380","34,720","10,809","10,224","10,727","11,487","7,368","9,745","9,715","12,201","25,097","25,656","23,854","25,474","15,930","16,496","15,482","16,840",2.8,-2.1,0.5,-3.2,0.5,"2,774","2,836","2,061","2,180"
61,LG화학,"281,830","273,531","300,589","426,547","120,885","118,697","163,197","204,138","72,735","89,415","126,242","150,621","289,441","340,244","413,889","511,353","116,220","166,406","225,985","279,253",8.9,5.6,1.2,1.8,8.6,"149,943","147,987","151,753","180,919"
