,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
258,두산중공업,"147,611","156,597","91,715","112,836","97,822","93,516","99,468","84,176","115,046","137,732","130,705","101,258","248,149","248,092","255,672","237,205","185,965","186,073","184,607","149,130",-0.4,-1.7,-0.4,-3.3,2.6,"-1,489","-9,742","-20,466","7,732"
259,두올,"4,831","4,659","4,658","4,956","1,820","1,980","2,433","2,580","1,322","1,538","1,584","1,490","3,466","3,643","4,057","4,241","1,827","1,873","2,223","2,268",5.1,4.4,3.7,1.5,3.8,672,788,816,941
261,디아이,"1,960","1,095","1,623","2,266",887,"1,010","1,031","1,211",492,559,547,632,"2,105","2,148","2,289","2,491",664,725,905,953,10.2,7.1,0.2,2.6,6.3,783,768,816,950
262,디아이씨,"5,532","5,378","4,934","5,901","3,287","3,090","2,100","2,171","5,038","4,722","4,553","4,284","8,103","7,798","6,046","6,289","6,238","5,937","5,340","4,963",0.1,-0.9,-7.0,-17.2,4.8,702,157,"-1,041",-728
263,디와이,"8,910","8,543","7,894","9,984","4,129","4,038","4,629","5,340","2,151","2,145","2,590","3,011","7,425","7,545","7,956","8,600","2,967","2,802","3,284","3,618",5.6,3.1,4.3,0.4,1.4,"2,487","2,606","2,456","2,388"
264,디와이파워,"3,857","3,435","3,048","4,372","1,458","1,480","1,776","2,252",917,802,819,"1,071","2,585","2,626","2,878","3,420","1,084",956,988,"1,161",12.6,9.9,7.3,9.2,9.9,631,795,820,"1,109"
265,디티알오토모티브,"9,085","9,298","8,031","9,308","4,547","4,319","4,761","10,771","2,843","2,684","2,909","5,581","8,708","9,117","9,618","14,850","3,072","2,856","3,071","7,710",5.7,7.1,7.7,5.2,7.0,"8,317","8,880","9,193","9,788"
266,스틱인베스트먼트,"1,577","1,645","1,741","3,127","1,203","1,251","1,441","1,964",441,589,638,965,"1,937","2,209","2,495","3,420",460,644,690,"1,098",3.9,6.1,5.4,8.5,19.7,920,"1,000","1,165","1,711"
267,락앤락,"4,343","4,860","5,020","5,430","3,777","4,095","4,140","5,420",616,674,701,"1,013","7,394","7,999","7,832","8,297",788,"1,159","1,179","1,358",4.7,4.2,2.1,1.5,2.0,"3,761","3,864","3,750","3,691"
268,롯데관광개발,761,884,168,"1,071","2,201",531,"1,248",915,745,"2,507","2,124","2,404","5,068","5,750","11,985","13,024","2,258","2,693","9,724","12,497",0.9,-24.9,-2.7,-9.3,-16.1,"-2,452","-2,643","-3,455","-5,447"
270,롯데쇼핑,"178,208","176,220","161,844","155,736","57,084","61,073","62,907","70,002","66,037","82,019","87,800","89,942","262,593","339,726","328,294","334,265","138,319","221,816","217,406","216,295",-0.1,-1.7,-2.7,-2.1,-0.8,"109,916","99,102","91,766","89,966"
271,롯데정밀화학,"13,717","13,113","12,636","17,803","7,164","8,605","5,168","8,669","2,285","2,825","1,697","3,090","17,000","17,927","18,746","27,235","3,221","2,996","2,249","5,248",5.6,12.9,9.6,10.8,25.5,"9,460","10,631","12,191","17,685"
272,롯데제과,"16,945","20,930","20,760","21,454","7,042","7,711","8,301","8,279","4,493","5,009","5,081","6,856","25,427","27,162","26,430","26,666","12,848","14,154","13,631","13,397", ,0.4,1.6,1.6,1.4,95,361,696,938
273,롯데지주,"72,712","88,562","90,866","99,249","154,769","31,266","49,026","47,725","163,397","37,869","47,455","45,670","276,183","156,058","166,800","199,219","191,849","78,132","88,489","102,926",3.8,0.5,-1.9,-1.5,0.8,"60,294","49,072","47,663","50,808"
274,롯데칠성,"23,463","24,295","22,580","25,061","6,887","7,884","8,933","9,945","6,890","9,416","8,649","9,710","33,113","32,565","34,661","35,968","20,739","20,285","21,612","21,518",3.0,-1.5,-4.4,-0.5,3.9,"20,833","19,083","18,762","19,615"
275,롯데케미칼,"160,731","151,235","122,230","181,205","81,439","72,209","68,765","94,307","39,614","27,400","28,677","45,791","207,991","200,431","193,865","228,700","72,548","59,900","56,742","74,188",12.9,8.1,3.7,0.9,6.8,"117,847","121,584","120,769","133,075"
276,롯데푸드,"18,108","17,880","15,223","16,078","4,502","6,245","5,520","4,824","1,810","4,538","3,178","2,573","12,083","13,212","12,865","12,715","5,258","6,136","5,253","4,855",7.4,3.5,3.0,5.4,-0.1,"9,117","9,229","9,816","9,699"
278,마니커,"2,691","2,417","2,148","2,527",370,301,462,698,792,589,892,889,"1,933","1,830","1,921","1,965",899,952,"1,202","1,492",-4.5,-5.1,-9.3,-18.8,-25.8,-374,-549,-911,"-1,410"
279,만도,"56,648","59,819","55,635","61,474","19,727","21,098","24,070","29,443","18,358","17,568","20,316","21,296","44,373","45,956","49,383","57,044","29,555","30,100","32,288","36,601",0.4,2.5,2.6,0.3,3.4,"6,812","7,545","7,223","9,155"
282,쎌마테라퓨틱스,378,77,97,75,108,108,278,258,154,122,312,292,195,154,334,287,159,128,318,297,-48.0,-56.7,-145.0,-80.9,-36.0,-222,-475,-671,-754
284,메리츠증권,"6,418","7,063","6,748","7,671","24,060","26,243","32,166","50,258", , , , ,"311,618","381,099","438,470","541,082", , , , ,10.8,5.9,4.9,3.9,2.5,997,997,"1,744","1,244"
286,명문제약,"1,475","1,493","1,279","1,448","1,070","1,007",806,669,"1,234","1,334","1,253","1,125","2,431","2,644","2,430","2,227","1,500","1,842","1,523","1,368",3.6,0.1,-8.2,-10.9,-2.9,151,-83,-337,-400
288,모나미,"1,352","1,320","1,278","1,322",777,813,743,"1,123",551,822,583,645,"1,706","2,007","1,957","2,025",961,"1,096","1,059",980,1.7,0.5,0.7,0.0,7.9,297,423,413,556
290,모토닉,"1,953","2,076","1,786","1,961","3,389","3,416","3,605","3,766",254,268,232,254,"4,324","4,409","4,424","4,480",295,330,278,292,2.9,2.0,2.6,3.4,2.7,"3,699","3,746","3,823","3,861"
291,무림P&P,"6,512","6,313","5,279","6,137","4,149","3,190","3,617","3,432","4,625","3,924","4,320","5,274","13,560","13,503","14,304","14,836","7,216","7,298","8,290","8,647",3.3,5.7,0.8,-0.5,1.4,"3,448","3,401","3,209","3,365"
292,무림페이퍼,"11,091","11,237","9,497","10,553","6,705","5,957","6,423","6,754","7,947","7,714","7,458","9,168","20,143","21,585","21,950","22,844","13,467","14,706","15,501","16,379",2.1,3.1,-0.3,-1.7,0.0,"1,680","1,554","1,166","1,111"
293,무학,"1,937","1,558","1,394","1,269",761,"1,150","1,024",560,"1,005",937,683,"1,436","6,190","6,246","5,988","6,466","1,125","1,097",740,"1,481",8.1,-3.1,3.8,2.2,-2.6,"4,867","5,005","5,138","4,933"
295,미래산업,345,277,416,483,474,517,397,701,161,47,193,291,687,748,958,"1,177",211,85,317,331,-16.2,-17.4,-8.6,-7.9,7.0,-501,-559,-626,-557
297,미래에셋증권,"6,542","5,571","6,016","7,676","117,509","119,063","178,111","209,556", , , , ,"1,180,855","1,331,498","1,309,469","1,086,418", , , , ,8.3,8.8,16.5,11.7,10.0,388,659,774,"1,032"
299,미원상사,"3,286","2,500","2,950","3,598","1,117","1,202","1,377","1,716",342,355,356,466,"2,455","2,807","3,290","3,724",479,561,614,764,9.7,9.0,11.8,17.0,16.5,"1,565","1,828","2,527","2,838"
300,미원에스씨,"3,604","3,779","3,720","5,313","1,733","2,043","2,174","2,925",351,404,440,970,"2,767","3,119","3,271","4,381",563,625,660,"1,116", ,14.5,13.5,10.9,20.9,501,803,936,"1,645"
301,미원홀딩스,"1,420","1,884","2,890","4,214",684,929,962,"1,351",489,500,664,"1,097","2,220","3,152","3,313","4,268",899,"1,176","1,330","1,911",6.1,5.1,6.1,7.3,10.6,326,470,632,"1,029"
303,미창석유,"3,163","3,237","2,776","4,063","2,127","2,095","2,191","2,604",317,318,275,392,"2,832","2,954","3,118","3,476",331,374,347,456,4.5,3.8,6.1,6.5,10.1,"2,399","2,539","2,705","3,004"
304,바다로19호,60,64,77,114,33,28,43,95,18,13,10,9,478,461,400,474,20,15,15,28,,,,,,-302,-301,-381,-291
305,방림,"1,319","1,165","1,310",423,"1,484","1,526","1,751","1,628",417,371,485,468,"2,369","2,369","2,571","2,474",470,449,573,562,1.2,2.4,2.2,3.0,-0.3,858,889,956,936
306,백광산업,"1,755","1,684","1,713","1,911",405,664,483,547,"1,052",940,841,"1,255","2,977","3,288","3,227","3,592","1,438","1,615","1,455","1,697",2.3,7.7,5.1,3.1,4.4,70,204,264,387
307,태경비케이,"2,126","1,864","1,653","1,952",784,"1,031","1,026","1,238",726,699,532,660,"2,938","3,014","2,959","3,324","1,009",985,871,975,2.5,2.0,3.3,3.1,4.9,682,692,718,793
308,백산,"3,231","4,689","3,831","3,711","1,774","1,967","1,766","2,098","1,315","1,559","1,352","1,482","2,947","3,306","2,911","3,302","1,566","1,884","1,687","1,831",4.6,6.1,2.0,-5.3,6.2,997,"1,032",842,"1,011"
309,범양건영,"1,556","2,761","1,444","1,119",650,708,798,"1,224",591,400,553,731,"1,184","1,385","1,581","1,985",682,685,765,"1,123",0.9,4.5,15.4,7.4,2.4,-328,81,190,240
311,벽산,"4,324","4,335","4,395","4,714","2,275","2,014","2,060","2,076","1,218","1,340","1,468","1,578","4,746","4,627","4,644","5,054","1,789","1,712","1,727","2,151",2.9,1.8,-0.4,0.3,-0.3,"1,845","1,794","1,790","1,750"
313,보령제약,"4,604","5,243","5,619","6,273","2,245","2,319","3,157","4,373","1,297","1,392","1,229","1,560","4,500","5,076","6,480","8,286","1,939","2,247","3,077","3,543",14.1,4.8,6.7,4.7,5.8,"2,468","2,737","2,958","3,348"
314,보해양조,820,760,786,837,753,581,500,597,750,554,534,443,"2,005","1,631","1,491","1,531","1,311",867,705,689,5.1,-13.3,-11.1,1.1,-0.6,-290,-257,-93,-59
315,부광약품,"1,942","1,682","1,697","1,825","2,216","1,864","2,482","2,201",382,359,612,370,"4,936","3,885","4,010","3,974",802,620,"1,298","1,174",4.7,39.9,-1.7,-2.6,-0.7,"3,350","3,104","2,733","2,647"
316,부국증권,420,263,346,431,"2,327","1,648","3,491","3,017", , , , ,"14,351","14,813","16,089","16,474", , , , ,10.4,13.4,16.4,19.3,5.6,32,7,0,1
319,부산산업,"1,194","1,410","1,156","1,280",651,677,604,623,480,484,404,431,"1,336","1,360","1,290","1,338",622,583,476,563,3.9,2.8,5.2,3.1,-2.5,363,396,416,393
321,비상교육,"1,619","1,994","1,723","2,156","1,174","1,493","1,157","1,196",438,646,553,675,"2,543","2,862","2,632","2,715",474,718,673,716,7.3,0.9,4.1,-5.4,2.3,"1,587","1,665","1,484","1,529"
322,빙그레,"8,552","8,783","9,591","11,474","3,858","4,051","3,253","3,139",957,943,"1,263","1,600","6,539","6,849","7,641","7,602","1,089","1,138","1,746","2,024",4.7,5.3,6.1,4.8,-2.5,"4,546","4,810","5,016","4,684"
323,사조대림,"9,371","13,297","17,181","18,137","2,692","4,331","4,848","5,251","3,202","4,709","4,966","5,233","7,209","10,709","11,241","11,398","4,046","6,470","6,725","6,208",6.3,2.1,9.7,3.3,5.9,"1,656","2,451","2,765","3,404"
324,사조동아원,"4,130","4,122","3,876","4,121","1,815","1,856","1,768","1,946","2,788","2,332","2,143","2,304","4,682","4,669","4,464","4,488","2,910","2,699","2,387","2,370",6.1,3.3,0.2,2.1,0.5,-76,131,228,252
325,사조산업,"7,821","7,354","6,219","5,904","3,554","3,257","3,069","3,207","4,239","3,696","3,505","3,842","11,760","11,374","10,874","11,139","6,662","6,524","5,842","5,481",5.2,3.7,-1.3,1.1,5.0,"3,718","3,571","3,640","4,084"
328,사조해표,"6,739","6,534","6,283","1,662","1,620","1,540","1,765","1,861","2,177","2,084","2,152","2,197","3,695","3,803","4,001","4,080","2,356","2,315","2,447","2,528",6.4,0.3,3.8,2.0,1.0,723,867,947,942
329,SGC에너지,"2,653","2,842","1,065","18,984","1,974","1,780","9,795","8,298","4,170","3,495","13,856","11,158","7,591","6,959","26,754","25,916","4,417","3,833","19,976","18,521",0.5,-1.5,0.1,1.9,3.7,"2,364","2,342",927,"1,305"
330,삼부토건,"1,774","2,263","3,794","3,570","2,761","2,592","3,888","4,464","1,461","1,333","2,304","2,538","4,131","4,207","4,888","5,514","2,228","2,201","3,077","3,129",-9.9,-12.8,1.8,-4.7,1.5,-567,154,1,102
331,삼성SDI,"91,583","100,974","112,948","135,532","55,193","51,814","56,574","74,449","40,128","37,415","49,836","64,613","193,497","198,521","215,342","258,332","71,245","71,918","81,753","106,365",4.2,4.3,2.1,3.1,5.3,"66,125","69,069","74,181","85,165"
332,삼성공조,809,752,638,796,"1,455","1,267","1,540","1,589",411,350,320,349,"2,602","2,584","2,582","2,575",463,397,356,378,4.3,2.4,1.9,2.1,-1.0,"2,055","2,094","2,142","2,113"
333,삼성물산,"311,556","307,615","302,161","344,552","136,713","117,537","129,236","151,440","130,168","109,294","108,896","116,753","424,067","459,055","543,317","552,454","198,577","192,134","213,863","218,930",1.0,3.8,2.4,2.3,3.3,"69,495","76,010","83,271","95,481"
334,삼성바이오로직스,"5,358","7,016","11,648","15,680","15,777","13,563","17,513","28,232","7,105","6,905","5,893","11,073","59,804","59,116","64,242","79,700","18,249","15,572","18,254","29,789",-1.3,3.4,3.4,3.9,5.5,"15,097","17,126","19,536","23,472"
336,삼성에스디에스,"100,342","107,196","110,174","136,300","58,818","63,838","65,812","75,760","15,748","16,982","17,208","23,703","80,138","90,212","91,549","105,174","18,653","22,961","22,958","30,737",7.7,8.4,8.8,5.0,6.4,"48,217","54,035","56,613","60,868"
337,삼성엔지니어링,"54,670","63,921","67,492","74,867","29,522","29,018","31,359","44,425","33,782","29,775","29,611","38,527","46,196","45,657","47,556","60,587","36,218","32,705","31,738","40,982",-1.4,1.3,7.1,5.4,6.5,"1,978","5,186","6,889","10,116"
338,삼성전기,"80,020","77,183","77,533","96,750","35,253","35,075","41,503","45,983","25,096","18,504","19,149","22,347","86,449","86,742","92,255","99,414","36,984","32,442","33,151","30,702",2.3,8.4,6.1,7.0,9.6,"31,793","35,729","40,733","48,072"
339,삼성전자,"2,437,714","2,304,009","2,368,070","2,796,048","1,746,974","1,813,853","1,982,156","2,181,632","690,815","637,828","756,044","881,171","3,393,572","3,525,645","3,782,357","4,266,212","916,041","896,841","1,022,877","1,217,212",15.0,13.8,6.3,7.2,9.9,"2,426,990","2,545,829","2,710,682","2,930,648"
341,삼성중공업,"52,651","73,497","68,603","66,220","74,055","69,295","66,980","55,936","62,671","70,891","75,339","70,583","142,829","136,001","129,222","121,386","75,366","83,512","92,039","80,413",-2.2,-2.8,-9.4,-11.3,-11.6,"28,001","15,022",301,"-13,552"
342,삼성증권,"4,697","5,087","6,460","7,114","52,537","77,953","161,718","180,008", , , , ,"383,306","447,296","638,697","657,075", , , , ,6.0,12.1,18.4,14.2,9.5, , , , 
343,삼성출판사,"1,861","2,020","1,671","1,875",846,949,945,"1,086",556,707,608,625,"1,907","2,416","2,924","3,387",748,"1,202","1,187","1,153",3.3,0.2,3.1,20.0,1.9,543,582,"1,107","1,171"
344,삼성카드,87,80,74,73,"12,805","6,493","14,418","14,697",271,109,99,50,"230,421","220,382","233,989","271,442",14,5,4,3,0.8,2.3,2.4,2.2,1.9,"43,807","45,432","47,717","51,265"
346,삼아알미늄,"1,713","1,911","1,970","2,530",751,791,764,991,761,864,791,926,"1,967","2,085","2,075","2,272",911,996,971,"1,052",0.1,1.4,2.4,1.7,5.6,954,986,"1,001","1,118"
347,삼양사,"21,238","20,964","20,518","23,845","6,521","8,075","9,227","9,852","4,738","4,001","4,657","7,492","21,739","23,882","25,765","28,020","9,079","10,937","12,235","13,761",2.3,2.8,2.3,3.1,2.1,"2,220","2,404","2,874","3,130"
348,삼양식품,"4,694","5,436","6,485","6,420","1,297","1,846","2,000","2,789","1,387","1,495","1,636","1,824","4,121","4,704","5,562","7,531","1,777","1,827","2,089","3,574",8.0,8.7,13.6,13.2,8.7,"1,777","2,311","2,905","3,385"
349,삼양통상,"1,832","1,921","1,984","1,940","2,329","2,658","3,172","3,501",255,309,334,408,"3,275","3,717","4,221","4,590",347,429,465,526,8.3,7.9,12.6,12.6,7.5,"2,362","2,778","3,248","3,545"
351,삼양홀딩스,"25,635","24,886","24,712","31,073","10,572","12,595","14,759","16,510","6,565","5,271","6,820","10,028","33,138","35,895","38,936","44,606","13,119","15,600","17,378","20,352",2.1,3.1,1.8,3.8,6.6,"9,708","9,849","10,710","12,916"
352,삼영무역,"2,693","2,742","3,924","4,670","2,375","3,090","3,105","3,366",349,839,825,861,"3,865","5,173","5,332","5,788",520,"1,171","1,119","1,146",8.2,7.7,7.2,6.6,8.1,"2,964","3,270","3,492","3,809"
353,삼영전자,"2,497","2,010","2,006","2,389","3,260","3,229","3,416","3,723",254,164,204,293,"5,080","5,027","5,139","5,436",276,183,230,319,2.1,3.0,1.7,2.3,3.2,"3,199","3,307","3,367","3,486"
354,삼영화학,"1,029","1,111","1,177","1,333",447,454,459,513,482,525,506,569,"1,052","1,070","1,090","1,177",589,627,632,671,-23.6,-7.2,-1.8,1.1,3.2,-73,-22,8,48
357,삼익악기,"2,400","2,654","2,479","2,954","1,625","1,766","2,060","2,739","2,125","1,525","2,354","2,076","5,944","6,129","6,224","5,853","3,829","3,887","3,995","3,314",-1.1,2.3,2.2,1.6,3.9,"1,713","1,799","1,849","2,053"
358,삼일제약,946,"1,211","1,230","1,342",592,792,725,767,853,682,987,"1,217","1,479","1,839","1,917","2,264",919,"1,216","1,281","1,607",-1.1,-6.0,0.5,0.7,-2.6,365,352,350,277
361,삼천리,"34,562","34,616","32,080","37,633","11,748","13,157","12,536","15,517","7,585","9,733","7,305","9,135","36,994","39,124","38,599","42,453","23,311","25,194","24,691","27,852",0.1,0.7,1.0,0.7,1.8,"12,652","12,906","13,095","13,619"
363,삼호개발,"2,987","3,646","3,634","3,173","1,587","1,796","1,959","1,724",862,954,898,624,"2,769","2,988","3,128","2,969",928,"1,080","1,014",761,8.5,7.7,7.5,6.1,4.6,"1,485","1,653","1,808","1,909"
364,삼화왕관,"1,080","1,160","1,403","1,499",622,546,570,508,174,304,330,322,"1,718","2,387","2,461","2,433",329,936,"1,019",997,5.1,5.8,4.1,0.6,0.6,994,"1,056","1,048","1,042"
365,삼화전기,"2,047","1,951","1,993","2,471",706,670,774,972,542,473,513,555,"1,282","1,252","1,370","1,586",692,639,693,718,7.7,5.4,2.8,4.4,10.5,141,161,181,322
366,삼화전자,421,418,401,443,179,170,140,159,328,327,288,353,643,604,550,669,450,442,412,493,-19.7,-6.8,-5.2,-4.0,-6.8,-291,-313,-334,-367
367,삼화콘덴서,"2,744","2,545","2,425","2,622","1,390","1,014","1,200","1,479",853,534,479,527,"2,200","2,148","2,350","2,693",927,609,601,664,12.0,34.6,13.7,10.4,11.4,"1,058","1,319","1,519","1,770"
368,삼화페인트,"5,242","5,403","5,517","6,316","2,752","2,758","3,052","3,032","1,529","2,177","2,079","2,181","5,580","5,606","5,943","6,121","2,762","2,785","3,020","3,162",0.4,0.2,0.7,1.1,-0.4,"2,724","2,728","2,764","2,708"
369,상신브레이크,"3,787","3,919","3,490","3,970","2,362","2,495","2,493","2,969","1,904","2,045","2,106","2,630","4,293","4,523","4,400","4,936","2,558","2,754","2,698","3,052",6.4,2.4,1.3,-0.5,2.2,"1,626","1,622","1,590","1,692"
370,새론오토모티브,"1,676","1,527","1,357","1,276","1,500","1,407","1,391","1,505",270,263,232,253,"2,671","2,555","2,481","2,684",447,426,302,300,5.0,2.8,-3.2,2.4,5.4,"2,084","1,968","2,008","2,134"
371,샘표,"2,759","2,810","3,191","3,490","1,226","1,339","1,763","2,100",551,554,560,846,"3,209","3,386","3,812","4,427",879,822,901,"1,293",6.0,6.7,7.5,9.8,5.6,"1,144","1,247","1,422","1,761"
372,샘표식품,"2,756","2,808","3,189","3,487",844,948,"1,366","1,696",525,537,562,832,"2,055","2,258","2,686","3,275",738,688,765,"1,126",5.9,9.0,12.4,14.6,8.0,334,589,941,"1,168"
373,서연,"20,784","22,026","22,373","24,793","12,414","9,193","9,376","9,077","13,935","11,336","10,364","9,826","26,963","22,154","21,510","21,379","17,460","14,104","13,244","12,316",-0.8,-1.6,-3.9,-1.2,2.1,"7,163","6,555","1,672","1,896"
374,서연이화,"18,508","19,768","19,624","21,801","8,532","7,904","8,097","7,718","8,649","9,624","9,120","8,692","16,962","18,205","18,038","17,905","10,296","11,989","11,718","10,928",1.7,-0.5,-2.8,-2.3,1.7,"2,228","1,715","1,324","1,568"
375,서울가스,"13,890","13,610","12,807","12,778","5,994","7,355","8,660","7,376","1,961","3,316","3,833","3,623","13,686","15,834","16,897","16,626","4,211","6,156","6,552","6,238",2.4,2.9,2.0,8.0,0.5,"9,347","9,553","10,233","10,263"
377,서원,"2,580","2,577","1,947","2,616",893,915,968,"1,261","1,040","1,048",898,"1,000","2,201","2,220","2,260","2,934","1,148","1,143","1,204","1,574",0.9,3.3,1.4,-2.5,4.8,248,271,214,361
378,서흥,"3,935","4,607","5,530","5,967","2,140","2,646","3,141","3,186","1,939","1,963","2,673","2,364","6,391","7,089","7,660","8,100","3,309","3,799","3,890","3,801",4.5,4.8,5.5,8.0,7.5,"2,422","2,700","3,175","3,636"
379,선도전기,838,893,862,833,709,715,723,669,248,404,372,442,"1,491","1,670","1,756","1,679",653,805,823,868,1.1,-0.5,-1.4,1.5,-5.8,425,427,452,343
380,선진,"9,124","10,140","13,481","17,183","4,148","4,403","5,387","6,218","4,678","5,075","6,090","6,610","9,172","9,833","11,197","12,096","5,860","6,520","7,357","7,798",9.0,2.3,2.1,8.1,3.6,"2,141","2,332","3,113","3,524"
381,SUN&L,"5,623","4,559","4,125","4,653","2,793","2,251","2,255","2,726","2,718","2,293","2,343","3,059","6,253","5,436","5,284","5,662","3,702","3,268","3,251","3,979",-1.6,-1.5,-6.8,-2.0,-6.5,"1,329",963,859,515
382,성문전자,413,359,379,493,256,221,231,349,129,124,116,117,433,425,404,544,139,151,138,236,-6.1,0.5,-4.3,-2.3,6.3,123,102,93,123
383,성보화학,495,419,517,577,"1,024",941,828,901,143,166,130,270,"1,834","1,724","1,592","1,722",297,258,225,364,4.9,3.3,-1.6,-3.6,0.8,978,907,821,808
384,성신양회,"6,881","7,074","7,223","8,335","2,821","2,568","2,828","3,116","4,970","4,387","4,727","4,726","10,614","10,294","10,903","11,216","6,745","6,291","6,828","7,076",1.2,1.6,1.7,1.0,0.6,"2,300","2,238","2,303","2,357"
385,성안,"2,202","2,169","1,280",789,"1,431","1,570","1,051",496,"1,551","1,688","1,809",661,"2,885","3,114","2,450","1,416","2,108","2,321","2,453","1,054",-3.2,-7.0,-5.4,-17.3,10.6,137,130,-509,-259
387,성창기업지주,"1,370","1,510","1,709","1,979",857,806,787,740,767,950,888,897,"6,487","7,033","7,074","7,037","1,593","1,779","1,745","1,645",0.6,-1.2,-1.6,0.7,0.8,"2,008","1,903","1,957","2,021"
389,세방,"6,517","7,233","8,422","10,577","1,852","2,292","2,672","3,552","1,103","1,744","1,889","2,295","9,889","11,160","11,646","12,453","1,731","2,897","3,112","3,481",3.3,4.5,0.6,2.9,4.4,"6,237","6,285","6,573","7,132"
390,세방전지,"11,809","11,390","12,528","13,520","7,886","8,719","9,739","10,576","2,750","4,282","3,539","4,316","12,679","15,107","15,143","16,844","2,855","4,560","3,782","4,724",6.0,8.0,5.6,4.4,5.3,"9,259","9,994","10,625","11,409"
391,세아베스틸,"32,781","29,365","25,358","36,511","13,809","13,448","13,404","16,360","9,818","7,358","7,569","9,109","37,189","35,769","32,804","35,260","17,239","15,938","15,667","16,196",3.9,0.7,0.5,-7.2,5.4,"12,452","12,319","9,748","11,624"
392,세아제강지주,"17,817","26,439","23,064","28,417","12,848","12,852","11,716","17,115","8,089","7,698","6,707","9,285","24,454","24,485","23,156","28,990","10,928","10,962","9,848","13,123",1.3,13.3,0.6,1.4,8.7,"14,700","8,316","8,457","10,227"
393,세아특수강,"7,236","7,175","6,550","8,958","3,232","3,742","3,681","4,694","1,627","2,249","1,882","2,726","5,000","5,732","5,524","6,511","1,749","2,458","2,376","3,108",4.5,2.2,2.1,-0.8,4.5,"2,365","2,389","2,272","2,485"
394,세아홀딩스,"51,769","49,307","42,574","60,055","22,206","23,263","22,719","28,246","15,298","13,629","13,634","17,375","54,539","54,567","50,849","55,378","24,466","24,243","23,579","26,750",4.1,1.2,0.9,-5.0,2.5,"15,868","16,044","14,398","15,105"
395,세우글로벌,322,275,275,324,347,362,395,414,107,56,41,43,434,455,471,496,107,57,41,44,1.1,1.3,0.2,6.7,4.4,86,86,118,139
396,세원이앤씨,"1,338","1,819","1,099",832,"1,116","1,437","1,020","1,061","1,200","1,139","1,273","1,032","3,295","3,587","3,247","2,927","1,617","1,821","1,546","1,225",-2.1,-5.0,-1.7,-7.8,-0.8,-315,-378,-643,-675
397,세원정공,"1,907","1,569","1,425",563,"3,651","2,492","2,634","2,777",845,712,437,400,"6,195","6,128","6,222","6,343","1,077",948,708,678,-2.2,-2.9,0.8,4.0,-0.7,"3,982","4,055","4,302","4,308"
399,세종공업,"10,995","12,217","11,828","15,881","4,758","5,591","6,993","7,214","4,676","5,313","6,719","6,879","8,710","9,960","11,588","11,801","5,096","6,148","7,706","7,772",-0.8,-2.2,0.2,-2.0,-0.9,"3,626","3,667","3,494","3,447"
400,세진중공업,"2,182","2,959","2,856","2,504",864,"1,379","1,102","1,995","1,939","2,022","1,651","2,414","3,683","4,086","4,481","5,704","2,099","2,463","2,870","3,672",0.5,0.5,0.8,0.8,2.8,"1,256","1,263","1,270","1,359"
402,다이나믹디자인,"1,208",994,768,530,700,522,736,749,"1,298","1,126",377,565,"1,721","1,610","1,503","1,160","1,440","1,395",868,742,-12.6,-21.2,-3.3,-24.9,-19.4,-533,-591,-979,"-1,232"
403,송원산업,"7,887","8,143","8,078","9,982","3,916","3,988","4,122","6,284","3,767","2,934","2,931","4,440","8,725","8,943","8,911","11,156","4,613","4,597","4,276","5,724",4.1,4.4,4.0,3.2,7.1,"3,805","3,998","4,334","5,124"
404,수산중공업,846,"1,578","1,378","2,530","1,006",859,"1,387","1,383",491,542,"1,175","1,065","2,049","1,832","2,364","2,361","1,060",828,"1,328","1,140",2.6,4.2,0.1,1.9,4.8,719,729,763,870
405,한국수출포장,"2,802","2,716","2,648","3,192",861,966,997,"1,253",427,387,386,507,"2,988","3,081","3,091","3,318",669,603,565,685,-1.8,5.8,5.9,2.7,5.0,"1,938","2,097","2,155","2,292"
406,스카이라이프,"6,908","6,946","6,987","7,632","3,017","4,591","4,804","4,085","1,124","1,235","1,532","2,497","8,160","8,483","9,195","12,756","1,498","1,428","1,750","4,697",7.3,6.5,6.7,6.6,5.7,"3,851","4,230","4,647","5,118"
407,신대양제지,"7,094","6,468","6,092","6,816","2,070","2,443","2,810","3,182","1,478","1,037","1,196","1,125","7,468","7,686","8,091","8,460","2,403","1,948","2,096","2,192",5.0,13.4,9.5,5.8,7.3,"3,254","3,774","4,177","4,687"
408,신도리코,"5,579","4,271","3,358","3,219","7,668","7,747","7,469","8,750",633,625,573,649,"9,502","9,475","9,162","10,226",787,769,677,739,3.4,3.7,1.5,-1.4,9.8,"7,197","7,184","6,952","7,906"
409,신라교역,"3,553","3,696","3,723","3,465","2,851","2,659","2,437","2,983",587,811,898,"1,081","5,810","6,199","6,291","6,805",712,"1,018","1,111","1,279",4.9,7.1,1.7,1.2,6.8,"5,006","5,042","5,045","5,400"
