name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
대웅,9.27,16.68,24.84,19.83,기타 금융업,7.41,-5.01
대웅제약,-2.2,10.19,8.3,9.19,의약품 제조업,12.39,0.89
대원강업,9.04,8.81,1.18,1.33,자동차 신품 부품 제조업,-0.23,0.15
대원전선,5.28,1.85,6.97,4.82,절연선 및 케이블 제조업,-3.43,-2.15
대원제약,33.99,32.35,20.18,7.94,의약품 제조업,-1.64,-12.24
대원화성,5.37,17.71,-3.42,-15.6,플라스틱제품 제조업,12.34,-12.18
대유에이텍,-13.71,7.06,7.49,0.41,자동차 신품 부품 제조업,20.77,-7.08
대유플러스,6.86,7.04,-1.51,2.21,통신 및 방송 장비 제조업,0.18,3.72
대창,9.51,4.75,6.1,14.48,1차 비철금속 제조업,-4.76,8.38
대창단조,23.77,27.3,25.26,38.65,자동차 신품 부품 제조업,3.53,13.39
대한방직,16.35,-19.84,7.27,5.09,직물직조 및 직물제품 제조업,-36.19,-2.18
대한유화,48.97,24.05,27.23,26.47,기초 화학물질 제조업,-24.92,-0.76
대한전선,0.51,-2.11,2.39,9.28,절연선 및 케이블 제조업,-2.62,6.89
대한제강,-4.19,19.62,25.07,53.01,1차 철강 제조업,23.81,27.94
대한제당,4.84,6.17,8.56,7.63,곡물가공품,1.33,-0.93
대한제분,23.84,10.01,10.22,27.29,곡물가공품,-13.83,17.07
대한항공,-1.56,-7.64,-2.8,7.73,항공 여객 운송업,-6.08,10.53
대한해운,9.93,11.12,3.21,29.01,해상 운송업,1.19,25.8
더존비즈온,53.76,34.98,26.45,22.4,컴퓨터 프로그래밍,-18.78,-4.05
덕성,-3.76,3.4,14.67,20.0,플라스틱제품 제조업,7.16,5.33
덕양산업,0.84,-8.05,-3.62,3.44,자동차 신품 부품 제조업,-8.89,7.06
덴티움,31.87,10.61,15.33,35.86,의료용 기기 제조업,-21.26,20.53
도화엔지니어링,15.98,17.56,16.7,13.11,건축기술,1.58,-3.59
케이비아이동국실업,-4.48,1.76,-5.32,-12.63,자동차 신품 부품 제조업,6.24,-7.31
동국제강,-15.9,-3.68,5.54,33.08,1차 철강 제조업,12.22,27.54
동방,10.36,-4.14,8.67,0.98,기타 운송관련 서비스업,-14.5,-7.69
동방아그로,15.01,14.92,15.41,15.35,비료,-0.09,-0.06
동부건설,38.84,27.21,18.35,36.78,토목 건설업,-11.63,18.43
KG스틸,-8.11,-3.71,11.2,26.97,1차 철강 제조업,4.4,15.77
동서,35.58,40.44,34.97,32.97,음·식료품 및 담배 도매업,4.86,-2.0
동성케미컬,-0.22,11.76,16.84,19.32,회사 본부 및 경영 컨설팅 서비스업,11.98,2.48
동아쏘시오홀딩스,-37.98,6.67,39.24,14.4,기타 금융업,44.65,-24.84
다스코,30.36,5.63,-9.11,1.54,구조용 금속제품,-24.73,10.65
