종목_list,2018_총자산,2019_총자산,2020_총자산,2021_총자산
대현,"2,590","2,637","2,529","2,801"
대호에이엘,887,809,"1,012","1,450"
더존비즈온,"2,787","7,270","8,041","9,003"
덕성,"1,006","1,029","1,050","1,253"
덕양산업,"5,263","5,096","5,130","5,236"
덴티움,"4,368","5,471","5,102","5,702"
도레이케미칼,"7,602","7,138","7,687","7,746"
도화엔지니어링,"3,759","4,090","4,517","5,002"
케이비아이동국실업,"5,703","5,597","5,661","5,680"
동국제강,"57,302","54,390","54,185","63,341"
동남합성,906,951,813,906
동방,"5,541","6,284","5,268","5,313"
동방아그로,"1,857","1,940","1,960","2,045"
동부건설,"7,138","8,919","9,542","12,620"
KG스틸,"25,061","23,553","22,577","27,711"
동북아12호,81,81,81,81
동북아13호,81,81,81,81
동서,"14,322","14,783","15,258","15,826"
동성제약,"1,402","1,317","1,257","1,046"
동성케미컬,"8,081","8,505","7,979","8,188"
동성화학,"1,902","1,841","1,886","1,881"
동아쏘시오홀딩스,"12,419","13,586","15,111","16,914"
다스코,"2,124","2,147","2,495","2,985"
동아에스티,"9,487","10,088","9,807","11,160"
동아지질,"2,848","3,223","3,348","3,508"
동아타이어,"3,690","3,858","3,958","4,206"
동양,"9,776","10,174","9,968","10,072"
동양고속,"1,959","1,868","1,679","1,688"
비케이탑스,"1,906",986,692,"1,131"
TYM,"5,815","6,286","6,569","7,074"
동양생명,"319,221","339,480","362,530","371,033"
동양철관,"1,636","1,642","1,534","1,860"
동양피스톤,"3,176","3,503","3,461","3,626"
넥스트사이언스,"1,600","1,294","1,308","1,639"
동원F&B,"14,036","15,735","16,839","19,357"
동원금속,"4,880","5,110","4,689","4,418"
동원산업,"25,922","29,860","31,060","30,519"
동원수산,954,987,982,"1,009"
동원시스템즈,"11,241","11,546","12,558","14,920"
동일고무벨트,"2,848","2,814","2,758","3,138"
DI동일,"9,476","8,884","8,826","9,931"
동일산업,"4,097","4,049","4,175","4,738"
동일제강,"1,502","1,470","1,486","1,805"
동화약품,"3,706","3,764","4,338","4,478"
두산,"288,803","291,697","302,010","260,099"
두산건설,"30,300","28,456","23,991","23,112"
두산밥캣,"64,463","67,042","69,606","85,809"
HSD엔진,"7,434","8,301","7,233","7,956"
현대두산인프라코어,"110,292","113,386","120,269","47,823"
두산중공업,"248,149","248,092","255,672","237,205"
두올,"3,466","3,643","4,057","4,241"
디씨엠,"1,879","2,070","2,279","2,869"
디아이,"2,105","2,148","2,289","2,491"
디아이씨,"8,103","7,798","6,046","6,289"
디와이,"7,425","7,545","7,956","8,600"
디와이파워,"2,585","2,626","2,878","3,420"
