종목_list,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채
동아쏘시오홀딩스,"3,199","4,144","3,484","4,673"
다스코,753,810,857,"1,226"
동아에스티,"2,690","2,161","1,477","2,755"
동아지질,"1,090","1,266","1,360","1,450"
동아타이어,252,284,275,421
동양,"1,229","1,638","1,806","1,869"
동양고속,595,322,417,624
비케이탑스,976,536,409,713
TYM,"3,235","3,941","3,863","3,810"
동양생명, , , , 
동양철관,794,758,596,929
동양피스톤,"1,697","1,775","1,962","1,746"
넥스트사이언스,624,314,317,458
동원F&B,"3,417","5,164","4,499","6,913"
동원금속,"3,125","3,205","3,123","2,868"
동원산업,"8,558","9,517","10,607","8,464"
동원수산,258,274,350,323
동원시스템즈,"3,687","2,165","4,507","5,149"
동일고무벨트,817,715,593,884
DI동일,"3,221","2,650","2,389","3,065"
동일산업,485,392,422,619
동일제강,157,133,160,236
동화약품,608,557,675,665
두산,"133,169","162,058","158,082","120,064"
두산건설,"17,067","15,395","19,114","14,129"
두산밥캣,"9,635","11,391","10,117","14,982"
HSD엔진,"4,903","6,207","4,976","4,311"
현대두산인프라코어,"37,786","44,844","38,826","27,688"
두산중공업,"115,046","137,732","130,705","101,258"
두올,"1,322","1,538","1,584","1,490"
디씨엠,198,267,329,409
디아이,492,559,547,632
디아이씨,"5,038","4,722","4,553","4,284"
디와이,"2,151","2,145","2,590","3,011"
디와이파워,917,802,819,"1,071"
디티알오토모티브,"2,843","2,684","2,909","5,581"
스틱인베스트먼트,441,589,638,965
락앤락,616,674,701,"1,013"
롯데관광개발,745,"2,507","2,124","2,404"
롯데손해보험, , , , 
롯데쇼핑,"66,037","82,019","87,800","89,942"
롯데정밀화학,"2,285","2,825","1,697","3,090"
롯데제과,"4,493","5,009","5,081","6,856"
롯데지주,"163,397","37,869","47,455","45,670"
롯데칠성,"6,890","9,416","8,649","9,710"
롯데케미칼,"39,614","27,400","28,677","45,791"
롯데푸드,"1,810","4,538","3,178","2,573"
롯데하이마트,"5,381","5,895","8,458","5,756"
마니커,792,589,892,889
만도,"18,358","17,568","20,316","21,296"
만호제강,157,143,208,262
맥쿼리인프라, , , , 
쎌마테라퓨틱스,154,122,312,292
메리츠금융지주, , , , 
메리츠증권, , , , 
메리츠화재, , , , 
명문제약,"1,234","1,334","1,253","1,125"
모나리자,130,117,135,162
모나미,551,822,583,645
모두투어리츠,213,14,183,643
모토닉,254,268,232,254
무림P&P,"4,625","3,924","4,320","5,274"
무림페이퍼,"7,947","7,714","7,458","9,168"
무학,"1,005",937,683,"1,436"
문배철강,164,567,403,585
