2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금,2018_자기자본,2019_자기자본,2020_자기자본,2021_자기자본,종목,번호,category
5628,4547,6998,7910,9143,8182,10058,11797,7327,5674,7053,4656,14901,13969,17124,19834,11423,10355,11810,13442,6.6,4.3,3.1,4.3,7.2,1600,1723,2140,3281,3478,3614,5314,6392,SK디앤디,210980,1026
542165,493069,345499,468429,166347,173536,132951,214817,88666,104572,110148,145124,358534,395345,384981,495574,166791,213213,230397,299242,6.4,4.9,0.2,-5.5,1.1,129285,121752,98913,102112,191743,182132,154584,196332,SK이노베이션,096770,1027
69392,50211,45195,66143,17724,20149,24566,28016,16972,16847,14545,19775,48056,50001,56216,68819,24870,26769,30053,38126,13.8,2.0,5.1,6.7,4.4,18523,20787,23266,25124,23186,23232,26163,30693,SK디스커버리,006120,1021
168740,177407,160877,167486,79588,80885,87751,63527,68476,78517,81780,69604,423691,452024,479070,309113,200199,223854,235107,185761,8.2,8.3,2.0,3.2,6.1,221445,222287,229819,224373,223492,228170,243963,123352,SK텔레콤,017670,1020
404451,269907,319004,429978,198941,144576,165710,268705,130319,79620,90724,147694,636583,652484,711739,963865,168060,173125,192648,341954,27.4,28.5,3.1,7.0,11.5,420336,429234,469957,557841,468523,479359,519091,621911,SK하이닉스,000660,1027
22202,24992,25427,29467,3402,3701,3643,4451,4077,4539,5678,5772,7523,11963,11819,12230,4383,8736,8789,8880,5.4,5.7,2.1,-1.0,3.4,2960,3047,2849,3168,3140,3227,3030,3350,SPC삼립,005610,1027
15030,14637,9756,9255,4229,3864,3199,3662,4636,4398,4583,4484,5541,5601,6508,6761,4900,5038,5432,5536,50.1,1.5,-6.0,-1.6,-3.5,81,-256,-364,-519,641,563,1076,1225,STX,011810,1016
5773,6106,5867,4935,4938,4390,4387,4271,3499,3553,4806,4908,8641,8284,8093,8375,6429,5909,5428,5535,-0.8,3.3,2.4,2.5,0.1,-4744,-4587,-3966,-3960,2212,2375,2665,2840,STX엔진,077970,1027
2148,2540,2480,1639,3211,2213,1525,1824,2822,1985,2585,2449,5672,4475,4674,4304,4008,3175,2934,2764,92.3,-16.4,-7.1,0.2,-1.7,-4067,-4430,-56,-80,1664,1300,1740,1540,STX중공업,071970,1027
4132,4372,4318,5367,1522,1490,1369,2020,932,1660,1338,1387,3048,3142,3068,3670,1925,1974,1856,2118,0.5,3.3,1.6,-0.5,8.5,713,742,767,1005,1123,1168,1212,1552,TCC스틸,002710,1027
1119,1155,1025,1176,759,771,699,674,82,136,115,136,1278,1351,1307,1353,106,166,139,151,0.1,0.8,0.8,-0.8,0.9,884,892,873,885,1172,1185,1168,1202,WISCOM,024070,1027
936,1136,1071,1543,602,690,699,1109,228,338,424,580,1468,1567,1510,2231,313,449,468,774,-7.7,-1.0,-2.8,-4.9,12.1,-116,-148,-211,9,1155,1118,1042,1457,YG PLUS,037270,1026
8407,8303,8574,10704,2778,2648,2858,4019,1475,1681,1923,2465,5265,5126,5425,6590,2661,2558,2789,3909,0.3,0.0,1.1,1.8,1.0,2161,2183,2263,2293,2604,2568,2636,2681,가온전선,000500,1027
3070,3325,3408,5910,1879,1788,2011,2969,604,599,686,1344,6579,6723,7122,9040,1083,1111,1297,2421,4.1,6.3,2.6,3.6,5.9,4401,4505,4710,5204,5496,5612,5825,6619,강남제비스코,000860,1027
14381,15201,4786,7884,17590,18782,14982,16570,6360,6513,3300,5068,42312,44381,36416,38273,6445,7204,3946,5745,10.7,7.1,7.7,-6.8,-0.3,35245,36555,31848,31906,35867,37177,32470,32528,강원랜드,035250,1026
2127,2275,2483,2703,1700,1850,1925,2065,1283,1226,1340,1231,3573,3709,3715,3888,1558,1690,1602,1520,3.1,1.4,1.1,3.6,4.2,1332,1334,1421,1503,2015,2019,2113,2368,경농,002100,1027
7267,7743,8734,11029,2870,2743,3604,4756,2751,2703,3380,4347,5836,6098,7347,9339,3035,3088,3865,4835,5.8,4.6,4.7,6.2,9.7,2465,2677,3029,3786,2801,3010,3482,4504,경동나비엔,009450,1027
2286,2717,3105,2985,1885,2365,2371,2323,784,847,745,611,6001,6055,5893,5777,1922,1909,1585,1379,6.0,5.1,1.5,2.8,2.4,5543,5810,5986,6076,4079,4146,4308,4398,경동인베스트,012320,1021
3514,3439,3292,3834,1207,2649,1173,1255,1632,1924,2856,2307,13018,13707,12649,12708,5930,6292,5230,5187,2.0,1.6,3.3,1.0,1.8,7032,7422,7519,7710,7088,7415,7419,7521,경방,000050,1016
3311,3588,3293,4033,2348,2519,2632,3256,1569,1926,2163,2692,4130,4721,5051,5795,1892,2346,2767,3276,1.4,3.6,3.7,-1.6,5.0,1476,1593,1479,1700,2238,2375,2284,2519,경인양행,012610,1027
185,133,208,274,438,449,455,496,22,19,25,50,574,569,578,659,28,24,38,63,-4.8,-1.2,0.4,2.4,6.0,313,308,315,348,546,545,540,596,경인전자,009140,1027
22927,22757,22000,25618,10784,12772,13519,15981,10054,11532,10261,10922,17262,20046,20703,23271,12864,15019,14643,15727,3.7,5.7,4.0,4.7,7.1,3313,3931,4873,6356,4398,5027,6060,7544,계룡건설,013580,1018
3651,3750,3797,3923,1351,1444,1632,1518,544,659,982,919,2726,2799,2942,2851,852,954,1085,1018,3.7,3.6,0.1,3.3,-2.1,1295,1262,1273,1219,1874,1845,1857,1833,계양전기,012200,1027
1584,1925,1905,2135,1161,1094,963,990,1035,952,1005,1179,2136,2065,2166,2386,1212,1107,1139,1318,2.9,1.9,2.3,3.2,2.0,654,689,751,788,924,958,1027,1068,고려산업,002140,1027
68833,66948,75819,99768,39659,45979,49129,56890,5384,7043,11184,17705,72259,78406,84996,99640,8514,10022,14126,22298,9.4,7.5,8.5,7.0,8.8,61381,65917,69397,75184,63745,68384,70870,77342,고려아연,010130,1027
15772,16397,13974,16914,9494,9162,8578,10778,6901,6405,5873,6012,23875,23466,22457,24743,9304,8758,7828,8362,0.9,0.1,-0.2,0.1,5.7,13933,13408,13443,14872,14571,14708,14629,16381,고려제강,002240,1027
11802,12383,12438,13382,4591,5260,5845,5878,2714,3084,3022,3255,7321,7928,8306,8838,3012,3453,3285,3566,3.3,3.0,3.0,5.6,3.0,3495,3693,4118,4332,4309,4475,5021,5272,광동제약,009290,1027
1126,1319,1235,1371,700,871,1030,1126,363,451,499,491,1518,1567,1659,1699,531,513,561,548,-1.4,1.8,4.6,2.8,3.5,462,539,586,641,987,1054,1098,1151,광명전기,017040,1027
1769,1662,1502,1738,1308,1275,1183,1210,232,226,247,218,2621,2603,2434,2390,377,379,421,283,1.2,2.5,1.3,-6.5,4.3,524,523,328,444,2244,2224,2013,2107,광전자,017900,1027
12806,11214,11327,15771,4512,4387,4536,8046,2696,2309,2475,4820,8544,9054,9306,14164,3548,3709,3783,6014,5.7,5.7,4.0,3.4,13.4,4295,4670,4880,6392,4996,5345,5523,8150,국도화학,007690,1027
2196,2231,2534,2270,838,895,1330,1031,632,429,843,526,1230,1333,1807,1685,750,688,969,661,-7.8,2.6,-3.1,6.8,-4.6,86,60,159,60,480,645,838,1024,국동,005320,1016
716,891,1099,969,118,705,506,595,281,753,534,612,482,1154,908,1023,348,868,600,705,-3.7,-6.6,-8.2,-19.9,-18.3,-72,-137,-292,-467,134,286,308,318,국보,001140,1019
1077,1111,1304,1197,546,611,499,482,482,593,554,545,1262,1346,1456,1398,575,736,751,712,0.8,1.7,-3.7,1.6,-1.1,79,5,31,11,687,610,705,686,국제약품,002720,1027
