종목_list,2018_총부채,2019_총부채,2020_총부채,2021_총부채
덕양산업,"4,490","4,470","4,573","4,598"
덴티움,"2,421","3,406","2,816","2,791"
도레이케미칼,670,"1,003","1,111","1,150"
도화엔지니어링,"1,272","1,564","1,948","2,333"
케이비아이동국실업,"3,909","3,833","3,964","3,979"
동국제강,"36,980","34,939","32,823","35,517"
동남합성,291,206,323,443
동방,"4,239","5,128","4,101","3,998"
동방아그로,527,569,542,574
동부건설,"3,519","4,713","4,944","7,023"
KG스틸,"24,996","14,658","12,850","16,209"
동북아12호,2,2,2,2
동북아13호,1,1,1,1
동서,"1,420","1,272","1,285","1,340"
동성제약,827,616,708,581
동성케미컬,"4,074","4,321","3,707","3,618"
동성화학,798,712,648,472
동아쏘시오홀딩스,"5,062","6,117","6,224","7,063"
다스코,857,914,"1,301","1,732"
동아에스티,"3,693","3,629","3,386","4,596"
동아지질,"1,100","1,284","1,433","1,464"
동아타이어,289,289,290,501
동양,"1,434","1,983","2,172","2,232"
동양고속,833,546,608,843
비케이탑스,"1,022",571,462,944
TYM,"4,773","4,815","4,861","4,582"
동양생명,"296,291","313,467","331,831","340,594"
동양철관,846,844,659,"1,019"
동양피스톤,"2,221","2,421","2,505","2,494"
넥스트사이언스,876,483,571,505
동원F&B,"7,711","8,923","9,370","11,369"
동원금속,"4,434","4,414","4,369","3,947"
동원산업,"16,186","19,076","18,109","15,650"
동원수산,506,478,500,439
동원시스템즈,"5,875","5,808","6,394","8,266"
동일고무벨트,978,879,759,"1,048"
DI동일,"4,350","3,930","3,659","4,196"
동일산업,548,510,570,717
동일제강,193,165,188,270
동화약품,732,766,911,877
두산,"217,352","223,502","224,354","175,128"
두산건설,"19,654","18,802","20,314","16,635"
두산밥캣,"27,067","27,252","28,868","42,596"
HSD엔진,"5,124","6,416","5,292","5,865"
현대두산인프라코어,"72,084","70,710","75,379","34,125"
두산중공업,"185,965","186,073","184,607","149,130"
두올,"1,827","1,873","2,223","2,268"
디씨엠,250,323,389,513
디아이,664,725,905,953
디아이씨,"6,238","5,937","5,340","4,963"
디와이,"2,967","2,802","3,284","3,618"
디와이파워,"1,084",956,988,"1,161"
디티알오토모티브,"3,072","2,856","3,071","7,710"
스틱인베스트먼트,460,644,690,"1,098"
락앤락,788,"1,159","1,179","1,358"
롯데관광개발,"2,258","2,693","9,724","12,497"
롯데손해보험,"136,517","153,014","154,016","179,092"
롯데쇼핑,"138,319","221,816","217,406","216,295"
롯데정밀화학,"3,221","2,996","2,249","5,248"
롯데제과,"12,848","14,154","13,631","13,397"
롯데지주,"191,849","78,132","88,489","102,926"
롯데칠성,"20,739","20,285","21,612","21,518"
롯데케미칼,"72,548","59,900","56,742","74,188"
롯데푸드,"5,258","6,136","5,253","4,855"
롯데하이마트,"10,552","11,857","14,232","11,162"
마니커,899,952,"1,202","1,492"
만도,"29,555","30,100","32,288","36,601"
만호제강,183,169,247,294
맥쿼리인프라, , , , 
쎌마테라퓨틱스,159,128,318,297
메리츠금융지주,"467,506","558,022","626,871","751,476"
메리츠증권, , , , 
메리츠화재,"181,956","207,751","226,762","252,938"
명문제약,"1,500","1,842","1,523","1,368"
모나리자,130,120,201,187
모나미,961,"1,096","1,059",980
모두투어리츠,385,650,644,648
모토닉,295,330,278,292
무림P&P,"7,216","7,298","8,290","8,647"
무림페이퍼,"13,467","14,706","15,501","16,379"
무학,"1,125","1,097",740,"1,481"
문배철강,417,839,686,668
미래산업,211,85,317,331
미래아이앤지,24,27,29,286
미래에셋증권, , , , 
미래에셋생명,"325,755","356,790","383,439","400,951"
미원상사,479,561,614,764
미원에스씨,563,625,660,"1,116"
미원홀딩스,899,"1,176","1,330","1,911"
미원화학,80,169,124,139
미창석유,331,374,347,456
바다로19호,20,15,15,28
방림,470,449,573,562
백광산업,"1,438","1,615","1,455","1,697"
태경비케이,"1,009",985,871,975
백산,"1,566","1,884","1,687","1,831"
범양건영,682,685,765,"1,123"
베트남개발1, , , , 
벽산,"1,789","1,712","1,727","2,151"
보락,96,117,101,108
보령제약,"1,939","2,247","3,077","3,543"
보해양조,"1,311",867,705,689
부광약품,802,620,"1,298","1,174"
부국증권, , , , 
부국철강,115,97,189,303
부산가스,"3,548","3,670","4,009","2,816"
부산산업,622,583,476,563
부산주공,"2,492","2,520","2,231","2,165"
비상교육,474,718,673,716
빙그레,"1,089","1,138","1,746","2,024"
사조대림,"4,046","6,470","6,725","6,208"
사조동아원,"2,910","2,699","2,387","2,370"
사조산업,"6,662","6,524","5,842","5,481"
사조씨푸드,"1,606","1,438","1,008","1,069"
사조오양,"1,526","1,436","1,340","1,192"
사조해표,"2,356","2,315","2,447","2,528"
SGC에너지,"4,417","3,833","19,976","18,521"
삼부토건,"2,228","2,201","3,077","3,129"
삼성SDI,"71,245","71,918","81,753","106,365"
삼성공조,463,397,356,378
삼성물산,"198,577","192,134","213,863","218,930"
삼성바이오로직스,"18,249","15,572","18,254","29,789"
삼성생명,"2,589,222","2,754,459","2,929,587","3,017,572"
삼성에스디에스,"18,653","22,961","22,958","30,737"
삼성엔지니어링,"36,218","32,705","31,738","40,982"
삼성전기,"36,984","32,442","33,151","30,702"
삼성전자,"916,041","896,841","1,022,877","1,217,212"
삼성제약,290,257,568,182
삼성중공업,"75,366","83,512","92,039","80,413"
삼성증권, , , , 
삼성출판사,748,"1,202","1,187","1,153"
삼성카드,14,5,4,3
삼성화재,"670,251","708,507","763,138","794,417"
삼아알미늄,911,996,971,"1,052"
삼양사,"9,079","10,937","12,235","13,761"
삼양식품,"1,777","1,827","2,089","3,574"
삼양통상,347,429,465,526
삼양패키징,"2,805","2,776","2,568","2,912"
삼양홀딩스,"13,119","15,600","17,378","20,352"
삼영무역,520,"1,171","1,119","1,146"
삼영전자,276,183,230,319
삼영화학,589,627,632,671
삼원강재,491,395,452,520
삼익THK,"1,687","2,043","1,976","1,808"
삼익악기,"3,829","3,887","3,995","3,314"
삼일제약,919,"1,216","1,281","1,607"
삼정펄프,215,217,218,233
삼진제약,547,467,556,983
삼천리,"23,311","25,194","24,691","27,852"
DL건설,"4,285","3,939","6,965","7,117"
삼호개발,928,"1,080","1,014",761
삼화왕관,329,936,"1,019",997
삼화전기,692,639,693,718
삼화전자,450,442,412,493
삼화콘덴서,927,609,601,664
삼화페인트,"2,762","2,785","3,020","3,162"
상신브레이크,"2,558","2,754","2,698","3,052"
새론오토모티브,447,426,302,300
샘표,879,822,901,"1,293"
샘표식품,738,688,765,"1,126"
서연,"17,460","14,104","13,244","12,316"
서연이화,"10,296","11,989","11,718","10,928"
서울가스,"4,211","6,156","6,552","6,238"
서울식품,499,510,464,463
서원,"1,148","1,143","1,204","1,574"
서흥,"3,309","3,799","3,890","3,801"
선도전기,653,805,823,868
선진,"5,860","6,520","7,357","7,798"
SUN&L,"3,702","3,268","3,251","3,979"
성문전자,139,151,138,236
성보화학,297,258,225,364
성신양회,"6,745","6,291","6,828","7,076"
성안,"2,108","2,321","2,453","1,054"
성지건설,297,359,249,236
성창기업지주,"1,593","1,779","1,745","1,645"
세기상사,193,191,199,278
세방,"1,731","2,897","3,112","3,481"
세방전지,"2,855","4,560","3,782","4,724"
세아베스틸,"17,239","15,938","15,667","16,196"
세아제강지주,"10,928","10,962","9,848","13,123"
세아특수강,"1,749","2,458","2,376","3,108"
세아홀딩스,"24,466","24,243","23,579","26,750"
세우글로벌,107,57,41,44
세원이앤씨,"1,617","1,821","1,546","1,225"
세원정공,"1,077",948,708,678
세이브존I&C,"1,410","1,313","1,073","1,063"
세종공업,"5,096","6,148","7,706","7,772"
세진중공업,"2,099","2,463","2,870","3,672"
세하,"1,519","1,499","1,018",974
다이나믹디자인,"1,440","1,395",868,742
송원산업,"4,613","4,597","4,276","5,724"
수산중공업,"1,060",828,"1,328","1,140"
한국수출포장,669,603,565,685
스카이라이프,"1,498","1,428","1,750","4,697"
신대양제지,"2,403","1,948","2,096","2,192"
신도리코,787,769,677,739
신라교역,712,"1,018","1,111","1,279"
신성이엔지,"2,991","2,944","2,320","2,686"
신성통상,"4,631","6,276","6,335","7,115"
신세계,"60,991","75,034","77,119","78,821"
신세계 I&C,"1,135",905,723,778
신세계건설,"5,614","5,802","5,632","6,029"
신세계인터내셔날,"4,376","5,296","5,062","4,395"
신세계푸드,"3,081","4,182","6,039","5,947"
신송홀딩스,802,"1,092",773,"1,529"
신영와코루,320,339,563,658
신영증권, , , , 
신원,"2,293","2,019","2,202","2,921"
신일전자,356,306,353,395
신풍제약,"1,735","1,710","1,128",380
신풍제지,"1,151","1,167",73,45
신한,"1,028","1,314",867,891
신한지주,"4,229,491","5,104,892","5,588,772","5,986,138"
SHD,305,311,296,304
신흥,454,587,543,372
쌍방울,"1,761","1,743","1,351","1,673"
쌍용C&E,"14,497","15,667","16,371","19,093"
쌍용차,"15,124","16,161","18,568","19,436"
써니전자,125,76,16,90
씨아이테크,187,248,424,317
씨에스윈드,"2,879","3,658","4,371","8,271"
아남전자,839,888,"1,336","1,936"
아모레G,"11,449","18,012","15,167","15,625"
아모레퍼시픽,"9,247","14,902","12,375","13,724"
메타랩스,339,397,236,286
아세아,"14,564","14,234","13,599","13,991"
아세아시멘트,"11,428","11,250","10,778","11,177"
아세아제지,"2,789","2,634","2,488","2,552"
아시아나항공,"70,979","125,951","127,621","125,616"
아이마켓코리아,"6,367","6,703","6,939","7,034"
아이에스동서,"10,749","16,102","22,315","20,529"
오렌지라이프,"265,213","277,868","289,717","294,230"
HDC랩스,824,686,541,"1,456"
우리금융캐피탈, , , , 
인바이오젠,10,249,190,965
알루코,"4,636","4,867","4,395","4,875"
알보젠코리아,"1,247","1,345","1,330",600
폴루스바이오팜,"1,256",916,846,847
애경케미칼,"1,565","1,328","1,409","5,558"
에넥스,960,779,677,665
