종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액
넥스트사이언스,132,300,354,450
동원F&B,"28,025","30,303","31,703","34,906"
동원금속,"4,586","4,566","3,695","2,833"
동원산업,"24,446","26,826","28,573","28,022"
동원수산,"1,420","1,640","1,454","1,446"
동원시스템즈,"10,263","10,424","10,785","12,509"
동일고무벨트,"2,630","2,619","2,432","2,775"
DI동일,"9,093","6,849","6,797","8,131"
동일산업,"3,910","3,547","3,333","4,644"
동일제강,"1,240","1,274","1,229","1,822"
동화약품,"3,066","3,072","2,721","2,930"
두산,"174,493","180,416","114,285","132,042"
두산건설,"13,342","15,359","15,478","12,173"
두산밥캣,"39,708","45,096","42,821","58,162"
HSD엔진,"5,113","6,743","8,300","5,990"
현대두산인프라코어,"77,301","81,858","39,881","45,937"
두산중공업,"147,611","156,597","91,715","112,836"
두올,"4,831","4,659","4,658","4,956"
디씨엠,"1,152","1,453","1,654","2,508"
디아이,"1,960","1,095","1,623","2,266"
디아이씨,"5,532","5,378","4,934","5,901"
디와이,"8,910","8,543","7,894","9,984"
디와이파워,"3,857","3,435","3,048","4,372"
디티알오토모티브,"9,085","9,298","8,031","9,308"
스틱인베스트먼트,"1,577","1,645","1,741","3,127"
락앤락,"4,343","4,860","5,020","5,430"
롯데관광개발,761,884,168,"1,071"
롯데손해보험,"35,245","36,736","41,182","35,446"
롯데쇼핑,"178,208","176,220","161,844","155,736"
롯데정밀화학,"13,717","13,113","12,636","17,803"
롯데제과,"16,945","20,930","20,760","21,454"
롯데지주,"72,712","88,562","90,866","99,249"
롯데칠성,"23,463","24,295","22,580","25,061"
롯데케미칼,"160,731","151,235","122,230","181,205"
롯데푸드,"18,108","17,880","15,223","16,078"
롯데하이마트,"41,127","40,265","40,517","38,697"
마니커,"2,691","2,417","2,148","2,527"
만도,"56,648","59,819","55,635","61,474"
만호제강,"2,071","1,949","1,945","1,242"
맥쿼리인프라, , , , 
쎌마테라퓨틱스,378,77,97,75
메리츠금융지주,"11,375","12,763","13,148","14,386"
메리츠증권,"6,418","7,063","6,748","7,671"
메리츠화재,"84,182","101,180","111,326","118,614"
명문제약,"1,475","1,493","1,279","1,448"
모나리자,"1,130","1,180","1,171","1,064"
모나미,"1,352","1,320","1,278","1,322"
모두투어리츠,48,76,47,61
모토닉,"1,953","2,076","1,786","1,961"
무림P&P,"6,512","6,313","5,279","6,137"
무림페이퍼,"11,091","11,237","9,497","10,553"
무학,"1,937","1,558","1,394","1,269"
문배철강,"1,594","1,626","1,527","2,049"
미래산업,345,277,416,483
미래아이앤지,65,75,58,78
미래에셋증권,"6,542","5,571","6,016","7,676"
미래에셋생명,"37,926","34,858","36,283","35,329"
미원상사,"3,286","2,500","2,950","3,598"
미원에스씨,"3,604","3,779","3,720","5,313"
미원홀딩스,"1,420","1,884","2,890","4,214"
미원화학,"1,465","1,547","1,602","1,975"
미창석유,"3,163","3,237","2,776","4,063"
바다로19호,60,64,77,114
방림,"1,319","1,165","1,310",423
백광산업,"1,755","1,684","1,713","1,911"
태경비케이,"2,126","1,864","1,653","1,952"
백산,"3,231","4,689","3,831","3,711"
범양건영,"1,556","2,761","1,444","1,119"
베트남개발1, , , , 
벽산,"4,324","4,335","4,395","4,714"
보락,338,361,383,398
보령제약,"4,604","5,243","5,619","6,273"
보해양조,820,760,786,837
부광약품,"1,942","1,682","1,697","1,825"
부국증권,420,263,346,431
부국철강,"1,424","1,323","1,389","1,957"
부산가스,"9,518","9,728","9,221","6,475"
부산산업,"1,194","1,410","1,156","1,280"
부산주공,"2,038","2,046","1,527","1,868"
비상교육,"1,619","1,994","1,723","2,156"
빙그레,"8,552","8,783","9,591","11,474"
사조대림,"9,371","13,297","17,181","18,137"
사조동아원,"4,130","4,122","3,876","4,121"
사조산업,"7,821","7,354","6,219","5,904"
사조씨푸드,"3,971","3,489","2,145","1,746"
사조오양,"2,961","3,136","3,276","3,289"
사조해표,"6,739","6,534","6,283","1,662"
SGC에너지,"2,653","2,842","1,065","18,984"
삼부토건,"1,774","2,263","3,794","3,570"
삼성SDI,"91,583","100,974","112,948","135,532"
삼성공조,809,752,638,796
삼성물산,"311,556","307,615","302,161","344,552"
삼성바이오로직스,"5,358","7,016","11,648","15,680"
삼성생명,"322,409","318,040","345,343","350,791"
삼성에스디에스,"100,342","107,196","110,174","136,300"
삼성엔지니어링,"54,670","63,921","67,492","74,867"
삼성전기,"80,020","77,183","77,533","96,750"
삼성전자,"2,437,714","2,304,009","2,368,070","2,796,048"
삼성제약,465,446,483,549
삼성중공업,"52,651","73,497","68,603","66,220"
삼성증권,"4,697","5,087","6,460","7,114"
삼성출판사,"1,861","2,020","1,671","1,875"
삼성카드,87,80,74,73
삼성화재,"222,090","229,068","240,449","244,443"
삼아알미늄,"1,713","1,911","1,970","2,530"
삼양사,"21,238","20,964","20,518","23,845"
삼양식품,"4,694","5,436","6,485","6,420"
삼양통상,"1,832","1,921","1,984","1,940"
삼양패키징,"3,663","3,754","3,676","3,919"
삼양홀딩스,"25,635","24,886","24,712","31,073"
삼영무역,"2,693","2,742","3,924","4,670"
삼영전자,"2,497","2,010","2,006","2,389"
삼영화학,"1,029","1,111","1,177","1,333"
삼원강재,"2,868","2,693","2,460","3,000"
삼익THK,"2,831","2,320","2,639","3,105"
삼익악기,"2,400","2,654","2,479","2,954"
삼일제약,946,"1,211","1,230","1,342"
삼정펄프,"1,356","1,471","1,463","1,381"
삼진제약,"2,600","2,419","2,352","2,501"
삼천리,"34,562","34,616","32,080","37,633"
DL건설,"9,656","12,799","17,346","20,103"
삼호개발,"2,987","3,646","3,634","3,173"
삼화왕관,"1,080","1,160","1,403","1,499"
삼화전기,"2,047","1,951","1,993","2,471"
삼화전자,421,418,401,443
삼화콘덴서,"2,744","2,545","2,425","2,622"
삼화페인트,"5,242","5,403","5,517","6,316"
상신브레이크,"3,787","3,919","3,490","3,970"
새론오토모티브,"1,676","1,527","1,357","1,276"
샘표,"2,759","2,810","3,191","3,490"
샘표식품,"2,756","2,808","3,189","3,487"
서연,"20,784","22,026","22,373","24,793"
서연이화,"18,508","19,768","19,624","21,801"
서울가스,"13,890","13,610","12,807","12,778"
서울식품,708,621,616,553
서원,"2,580","2,577","1,947","2,616"
서흥,"3,935","4,607","5,530","5,967"
선도전기,838,893,862,833
선진,"9,124","10,140","13,481","17,183"
SUN&L,"5,623","4,559","4,125","4,653"
성문전자,413,359,379,493
성보화학,495,419,517,577
성신양회,"6,881","7,074","7,223","8,335"
성안,"2,202","2,169","1,280",789
성지건설,"1,360","1,017","1,124",267
성창기업지주,"1,370","1,510","1,709","1,979"
세기상사,52,51,22,179
세방,"6,517","7,233","8,422","10,577"
세방전지,"11,809","11,390","12,528","13,520"
세아베스틸,"32,781","29,365","25,358","36,511"
세아제강지주,"17,817","26,439","23,064","28,417"
세아특수강,"7,236","7,175","6,550","8,958"
세아홀딩스,"51,769","49,307","42,574","60,055"
세우글로벌,322,275,275,324
세원이앤씨,"1,338","1,819","1,099",832
세원정공,"1,907","1,569","1,425",563
세이브존I&C,"1,723","1,592","1,347","1,222"
세종공업,"10,995","12,217","11,828","15,881"
세진중공업,"2,182","2,959","2,856","2,504"
세하,"1,772","1,777","1,895","2,044"
다이나믹디자인,"1,208",994,768,530
송원산업,"7,887","8,143","8,078","9,982"
수산중공업,846,"1,578","1,378","2,530"
한국수출포장,"2,802","2,716","2,648","3,192"
스카이라이프,"6,908","6,946","6,987","7,632"
신대양제지,"7,094","6,468","6,092","6,816"
신도리코,"5,579","4,271","3,358","3,219"
신라교역,"3,553","3,696","3,723","3,465"
신성이엔지,"4,247","4,028","4,824","4,545"
신성통상,"9,549","10,272","11,999","7,432"
신세계,"51,857","63,942","47,693","63,164"
신세계 I&C,"3,735","4,560","4,803","5,261"
신세계건설,"10,843","10,162","9,568","12,568"
신세계인터내셔날,"12,627","14,250","13,255","14,508"
신세계푸드,"12,786","13,201","12,403","13,329"
신송홀딩스,"1,633","2,630","2,059","1,864"
신영와코루,"1,742","1,781","1,780","1,894"
신영증권,"1,194","1,229","1,330",875
신원,"6,215","6,749","6,943","8,794"
신일전자,"1,687","1,459","1,724","1,935"
신풍제약,"1,874","1,897","1,978","1,892"
신풍제지,"1,541","1,569",338,259
신한,506,580,375,6
신한지주,"85,801","97,380","98,827","107,693"
SHD,716,741,773,"1,048"
신흥,"1,215","1,230","1,167","1,269"
쌍방울,"1,017",955,972,970
쌍용C&E,"15,100","15,385","14,708","16,614"
쌍용차,"37,048","36,239","29,502","24,293"
써니전자,187,256,164,164
씨아이테크,323,407,414,472
씨에스윈드,"5,022","7,994","9,691","12,034"
아남전자,"1,923","2,433","2,647","3,598"
아모레G,"60,782","62,843","49,301","53,261"
아모레퍼시픽,"52,778","55,801","44,322","48,631"
메타랩스,474,869,490,393
아세아,"16,276","15,424","15,271","18,465"
아세아시멘트,"8,438","8,368","7,875","8,926"
아세아제지,"7,758","6,977","7,316","9,457"
아시아나항공,"71,834","68,868","38,781","43,397"
아이마켓코리아,"29,352","29,238","28,394","31,325"
아이에스동서,"15,968","7,706","12,004","16,084"
오렌지라이프,"42,657","43,423","50,480","35,902"
HDC랩스,"2,720","2,524","2,604","2,746"
우리금융캐피탈,"2,186","2,547","2,937",684
인바이오젠,76,98,102,105
알루코,"5,068","4,544","4,953","5,056"
알보젠코리아,"1,658","1,812","1,901","1,937"
폴루스바이오팜,102,95,65,0
애경케미칼,"10,314","10,170","9,089","15,701"
에넥스,"4,457","3,636","2,337","2,018"
에스엘,"15,986","22,622","25,050","30,011"
에스원,"20,183","21,515","22,233","23,125"
에쓰씨엔지니어링,"2,508","2,401",725,757
에이리츠,228,609,535,73
에이블씨엔씨,"3,455","4,222","3,075","2,001"
에이엔피,949,952,821,693
에이프로젠제약,454,509,533,565
엔씨소프트,"17,151","17,012","24,162","23,088"
엔에스쇼핑,"4,741","4,980","5,391","5,838"
엔케이,"1,084",737,694,691
플레이그램,65,88,341,408
영보화학,"1,439","1,312","1,074",997
영원무역,"21,013","23,883","24,664","27,925"
영원무역홀딩스,"25,187","27,380","28,510","32,405"
영진약품,"1,864","2,205","2,085","1,961"
영풍,"29,714","30,841","31,834","35,821"
영풍제지,"1,112",997,982,"1,206"
영화금속,"2,267","2,326","1,794","2,355"
영흥,"1,965","1,975","1,997","4,086"
예스코홀딩스,"10,954","11,082","11,014","12,667"
오뚜기,"22,468","23,597","25,959","27,390"
오리엔트바이오,304,372,520,452
오리온,"19,269","20,233","22,298","23,555"
오리온홀딩스,"19,977","21,036","22,805","24,151"
웰바이오텍,739,523,604,"1,216"
용평리조트,"1,814","1,294","1,274","2,363"
팜젠사이언스,891,951,966,"1,099"
우리들휴브레인,336,562,66,186
우리은행,"47,619","50,195","52,207","41,971"
우리종금,414,518,756,977
우성,"2,893","3,408","3,886","4,805"
우신시스템,"3,030","2,890","2,407","2,623"
우진,939,889,892,"1,076"
우진플라임,"1,719","1,818","2,050","2,340"
웅진,"2,787","8,199","8,862","9,799"
웅진씽크빅,"6,429","6,522","6,461","8,139"
웅진에너지,"2,431","1,658",418,110
원림,789,791,684,797
윌비스,"2,777","2,696","2,396","2,765"
유나이티드제약,"2,119","2,213","2,160","2,210"
유니드,"8,140","8,752","8,905","10,973"
유니온,"2,089","2,101","1,892","2,159"
유니온머티리얼,"1,123","1,068",935,"1,183"
유니켐,836,"1,088","1,262","1,233"
유니퀘스트,"2,656","3,353","4,028","5,910"
유성기업,"2,466","2,596","2,415","2,764"
유수홀딩스,"3,843","3,661","3,348","5,037"
유안타증권,954,"1,001","1,292","1,557"
와이투솔루션,911,"1,083","1,074","1,015"
유엔젤,335,266,271,297
유유제약,831,909,981,"1,157"
유진투자증권,948,870,"1,034","1,109"
유한양행,"15,188","14,804","16,199","16,878"
유화증권,78,70,79,83
율촌화학,"4,898","5,066","5,207","5,387"
이건산업,"3,396","2,797","2,569","2,768"
이구산업,"2,272","2,103","2,029","3,344"
이노션,"12,392","12,743","12,211","15,020"
이마트,"170,491","190,629","220,330","249,327"
이수페타시스,"5,603","5,142","3,932","4,696"
이수화학,"15,311","15,137","13,133","17,033"
이스타코,52,238,59,71
이아이디,"1,213","1,410","1,652","2,224"
이엔플러스,398,404,274,554
이연제약,"1,230","1,316","1,300","1,428"
이월드,336,"1,832","1,315","1,258"
이화산업,691,617,511,578
인디에프,"1,976","2,025","1,528","1,487"
인스코비,586,758,578,717
인지컨트롤스,"5,041","4,942","4,587","4,849"
인천도시가스,"5,844","5,735","5,045","5,042"
인터지스,"4,924","4,782","4,583","5,889"
인팩,"3,504","3,608","3,842","4,393"
일동제약,"5,039","5,175","5,618","5,601"
일동홀딩스,471,"2,922","5,965","5,924"
일성건설,"3,640","3,758","3,410","4,162"
일성신약,617,484,406,421
일신방직,"5,039","4,962","4,649","6,010"
일신석재,541,667,587,747
일양약품,"3,000","3,246","3,433","3,713"
일정실업,480,398,313,318
일진다이아,"1,340","1,644","1,687","1,877"
일진디스플,"2,064",957,669,"1,014"
일진머티리얼즈,"5,020","5,502","5,369","6,889"
일진전기,"7,314","6,683","7,079","9,324"
일진홀딩스,"9,294","8,962","9,340","11,901"
잇츠한불,"2,141","2,026","1,464","1,402"
자화전자,"3,583","3,630","3,007","3,479"
전방,"1,493","1,375","1,052","1,337"
제이에스코퍼레이션,"2,056","2,531","4,028","9,870"
제이준코스메틱,"1,320",526,305,205
제일기획,"34,779","34,217","27,479","33,257"
